method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.2,0.2659669664171007,0.817196994357639,0.695951908826828,1568737,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.2,0.21080525716145834,0.6135443793402777,0.6294276714324951,1243380,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.19,0.2516020033094618,0.7978013780381945,0.6653136517852545,1484009,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.19,0.19894019232855903,0.5934068467881944,0.6014066897332668,1173397,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.18000000000000002,0.23782772488064235,0.7779269748263887,0.633329076692462,1402765,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.18000000000000002,0.18724009195963542,0.5727335611979167,0.5729296281933784,1104387,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.17,0.2235410902235243,0.7527832031249999,0.6014418117702007,1318499,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.17,0.17514139811197918,0.5506998697916666,0.5440759658813477,1033026,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.16,0.2093319363064236,0.7242004394531251,0.5696563944220543,1234690,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.16,0.1626127454969618,0.5260579427083335,0.5155242998152971,959129,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.15000000000000002,0.19501495361328125,0.690625,0.5370737630873919,1150245,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.15000000000000002,0.15007544623480903,0.4996649848090278,0.4864201592281461,885181,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.14,0.17992875840928818,0.6503573947482639,0.5048486217856407,1061263,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.14,0.13752899169921876,0.47119004991319435,0.4576115729287267,811179,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.13,0.16376258002387153,0.6030687120225695,0.4720967561006546,965911,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.13,0.12524651421440972,0.44088066948784715,0.4285876518115401,738734,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.12000000000000001,0.14659356011284722,0.5488532172309029,0.43942292872816324,864644,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.12000000000000001,0.11266615125868056,0.4062276204427084,0.39956884644925594,664532,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.11000000000000001,0.12777574327256944,0.4853441026475694,0.40670488588511944,753652,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.11000000000000001,0.09971347384982639,0.3678873697916668,0.37039836309850216,588134,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.1,0.10734405517578124,0.4133877224392361,0.3738888269290328,633141,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.1,0.08598649766710069,0.32474975585937504,0.3415253460407257,507169,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.09000000000000001,0.08596479627821181,0.33487820095486104,0.34170856699347496,507041,5898240,,,,,Classical OFDM
