method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label,snr_sweep_cfo,snr_sweep_ebn0_db
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.0,0.14100884331597222,0.4797519259982639,0.5002842526882887,831704,5898240,,,,,Classical OFDM,0.0,0.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.0,0.14152899848090278,0.4812364366319444,0.4915486555546522,834772,5898240,,,,,Learned Basis,0.0,0.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.0,0.09778255886501735,0.35237358940972224,0.39727038983255625,576745,5898240,,,,,Classical OFDM,0.0,2.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.0,0.09852193196614584,0.35470920138888884,0.3908330546692014,581106,5898240,,,,,Learned Basis,0.0,2.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.0,0.05871412489149305,0.22093098958333332,0.3155639562755823,346310,5898240,,,,,Classical OFDM,0.0,4.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.0,0.05937771267361111,0.22331542968750004,0.310824740678072,350224,5898240,,,,,Learned Basis,0.0,4.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,6.0,0.0,0.027955118815104166,0.10866088867187498,0.25060230446979403,164886,5898240,,,,,Classical OFDM,0.0,6.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,6.0,0.0,0.02863193088107639,0.11121826171875002,0.24759156303480268,168878,5898240,,,,,Learned Basis,0.0,6.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,8.0,0.0,0.009225633409288194,0.03657023111979167,0.19915608130395412,54415,5898240,,,,,Classical OFDM,0.0,8.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,8.0,0.0,0.00975833468967014,0.03864542643229167,0.1974823037162423,57557,5898240,,,,,Learned Basis,0.0,8.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,10.0,0.0,0.0017449273003472222,0.006966145833333333,0.15814556321129203,10292,5898240,,,,,Classical OFDM,0.0,10.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,10.0,0.0,0.002008056640625,0.008013916015624999,0.1577462605200708,11844,5898240,,,,,Learned Basis,0.0,10.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.0,0.0001369900173611111,0.0005479600694444444,0.12564238696359098,808,5898240,,,,,Classical OFDM,0.0,12.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.0,0.00018971761067708334,0.0007588704427083336,0.12656379956752062,1119,5898240,,,,,Learned Basis,0.0,12.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,14.0,0.0,3.5603841145833334e-06,1.4241536458333332e-05,0.09973321296274662,21,5898240,,,,,Classical OFDM,0.0,14.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,14.0,0.0,7.2903103298611115e-06,2.9161241319444442e-05,0.10192144894972444,43,5898240,,,,,Learned Basis,0.0,14.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,16.0,0.0,0.0,0.0,0.079254339216277,0,5898240,,,,,Classical OFDM,0.0,16.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,16.0,0.0,0.0,0.0,0.08284994075074792,0,5898240,,,,,Learned Basis,0.0,16.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,18.0,0.0,0.0,0.0,0.06289666844531894,0,5898240,,,,,Classical OFDM,0.0,18.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,18.0,0.0,0.0,0.0,0.06798403058201075,0,5898240,,,,,Learned Basis,0.0,18.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,20.0,0.0,0.0,0.0,0.04998633812647313,0,5898240,,,,,Classical OFDM,0.0,20.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,20.0,0.0,0.0,0.0,0.056767902337014675,0,5898240,,,,,Learned Basis,0.0,20.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.05,0.1558347913953993,0.5235290527343751,0.5305664222687483,919151,5898240,,,,,Classical OFDM,0.05,0.0
