method,method_label,eps,stream,diag_magnitude
Learned,Learned Basis,-0.2,0,0.9792045950889587
Learned,Learned Basis,-0.2,1,0.9811063408851624
Learned,Learned Basis,-0.2,2,0.9771724343299866
Learned,Learned Basis,-0.2,3,0.9807690382003784
Learned,Learned Basis,-0.2,4,0.980699896812439
Learned,Learned Basis,-0.2,5,0.9785990715026855
Learned,Learned Basis,-0.2,6,0.9774735569953918
Learned,Learned Basis,-0.2,7,0.9803793430328369
Learned,Learned Basis,-0.2,8,0.9797468781471252
Learned,Learned Basis,-0.2,9,0.9787274599075317
Learned,Learned Basis,-0.2,10,0.9805963039398193
Learned,Learned Basis,-0.2,11,0.9803147315979004
Learned,Learned Basis,-0.2,12,0.9801753163337708
Learned,Learned Basis,-0.2,13,0.9811039566993713
Learned,Learned Basis,-0.2,14,0.9791489243507385
Learned,Learned Basis,-0.2,15,0.9851470589637756
Learned,Learned Basis,-0.2,16,0.9790797233581543
Learned,Learned Basis,-0.2,17,0.981128990650177
Learned,Learned Basis,-0.2,18,0.9809718728065491
Learned,Learned Basis,-0.2,19,0.9803169965744019
Learned,Learned Basis,-0.2,20,0.9781590700149536
Learned,Learned Basis,-0.2,21,0.9758349657058716
Learned,Learned Basis,-0.2,22,0.9633352756500244
Learned,Learned Basis,-0.2,23,0.941754162311554
Learned,Learned Basis,-0.2,24,0.9447649717330933
Learned,Learned Basis,-0.2,25,0.9431151747703552
Learned,Learned Basis,-0.2,26,0.9521655440330505
Learned,Learned Basis,-0.2,27,0.9645717740058899
Learned,Learned Basis,-0.2,28,0.9528630971908569
Learned,Learned Basis,-0.2,29,0.9547393321990967
Learned,Learned Basis,-0.2,30,0.9673668742179871
Learned,Learned Basis,-0.2,31,0.9690849781036377
Learned,Learned Basis,-0.2,32,0.9665703177452087
Learned,Learned Basis,-0.2,33,0.9712023735046387
Learned,Learned Basis,-0.2,34,0.9707200527191162
Learned,Learned Basis,-0.2,35,0.9752925634384155
Learned,Learned Basis,-0.2,36,0.9725807905197144
Learned,Learned Basis,-0.2,37,0.974300742149353
Learned,Learned Basis,-0.2,38,0.9750891327857971
Learned,Learned Basis,-0.2,39,0.9763995409011841
Learned,Learned Basis,-0.2,40,0.973905086517334
Learned,Learned Basis,-0.2,41,0.9762625694274902
Learned,Learned Basis,-0.2,42,0.9769883155822754
Learned,Learned Basis,-0.2,43,0.9763416051864624
Learned,Learned Basis,-0.2,44,0.9769415259361267
Learned,Learned Basis,-0.19,0,0.9793540239334106
Learned,Learned Basis,-0.19,1,0.9812448024749756
Learned,Learned Basis,-0.19,2,0.9773218035697937
Learned,Learned Basis,-0.19,3,0.9809104800224304
Learned,Learned Basis,-0.19,4,0.980850100517273
Learned,Learned Basis,-0.19,5,0.9787326455116272
Learned,Learned Basis,-0.19,6,0.9776079654693604
Learned,Learned Basis,-0.19,7,0.9805140495300293
Learned,Learned Basis,-0.19,8,0.9798744320869446
Learned,Learned Basis,-0.19,9,0.9788570404052734
Learned,Learned Basis,-0.19,10,0.9807406067848206
Learned,Learned Basis,-0.19,11,0.9804567694664001
Learned,Learned Basis,-0.19,12,0.9803164005279541
Learned,Learned Basis,-0.19,13,0.981263279914856
Learned,Learned Basis,-0.19,14,0.9792866110801697
Learned,Learned Basis,-0.19,15,0.9853218197822571
Learned,Learned Basis,-0.19,16,0.9792606234550476
Learned,Learned Basis,-0.19,17,0.981340229511261
Learned,Learned Basis,-0.19,18,0.9811984896659851
Learned,Learned Basis,-0.19,19,0.9805721044540405
Learned,Learned Basis,-0.19,20,0.9784914255142212
Learned,Learned Basis,-0.19,21,0.9764317870140076
Learned,Learned Basis,-0.19,22,0.9648571610450745
Learned,Learned Basis,-0.19,23,0.9454003572463989
Learned,Learned Basis,-0.19,24,0.9484032392501831
Learned,Learned Basis,-0.19,25,0.9468400478363037
Learned,Learned Basis,-0.19,26,0.9545199275016785
Learned,Learned Basis,-0.19,27,0.9652839303016663
Learned,Learned Basis,-0.19,28,0.9547639489173889
Learned,Learned Basis,-0.19,29,0.9564264416694641
Learned,Learned Basis,-0.19,30,0.9679442048072815
Learned,Learned Basis,-0.19,31,0.9694586396217346
Learned,Learned Basis,-0.19,32,0.9669671058654785
Learned,Learned Basis,-0.19,33,0.9717313647270203
Learned,Learned Basis,-0.19,34,0.9710182547569275
Learned,Learned Basis,-0.19,35,0.9755301475524902
Learned,Learned Basis,-0.19,36,0.9728147387504578
Learned,Learned Basis,-0.19,37,0.9745548963546753
Learned,Learned Basis,-0.19,38,0.9752951860427856
Learned,Learned Basis,-0.19,39,0.9765956401824951
Learned,Learned Basis,-0.19,40,0.9741126894950867
Learned,Learned Basis,-0.19,41,0.9764464497566223
Learned,Learned Basis,-0.19,42,0.9771398901939392
Learned,Learned Basis,-0.19,43,0.9765039682388306
Learned,Learned Basis,-0.19,44,0.9770937561988831
Learned,Learned Basis,-0.18000000000000002,0,0.9794967174530029
Learned,Learned Basis,-0.18000000000000002,1,0.9813758134841919
Learned,Learned Basis,-0.18000000000000002,2,0.9774638414382935
Learned,Learned Basis,-0.18000000000000002,3,0.9810450673103333
Learned,Learned Basis,-0.18000000000000002,4,0.9809932708740234
Learned,Learned Basis,-0.18000000000000002,5,0.9788591861724854
Learned,Learned Basis,-0.18000000000000002,6,0.9777364134788513
Learned,Learned Basis,-0.18000000000000002,7,0.9806433916091919
Learned,Learned Basis,-0.18000000000000002,8,0.9799957871437073
Learned,Learned Basis,-0.18000000000000002,9,0.9789814352989197
Learned,Learned Basis,-0.18000000000000002,10,0.9808787703514099
Learned,Learned Basis,-0.18000000000000002,11,0.9805930256843567
Learned,Learned Basis,-0.18000000000000002,12,0.9804506897926331
Learned,Learned Basis,-0.18000000000000002,13,0.9814156293869019
Learned,Learned Basis,-0.18000000000000002,14,0.9794185757637024
Learned,Learned Basis,-0.18000000000000002,15,0.9854892492294312
Learned,Learned Basis,-0.18000000000000002,16,0.9794344305992126
Learned,Learned Basis,-0.18000000000000002,17,0.9815429449081421
Learned,Learned Basis,-0.18000000000000002,18,0.9814165234565735
Learned,Learned Basis,-0.18000000000000002,19,0.9808191061019897
Learned,Learned Basis,-0.18000000000000002,20,0.9788122773170471
Learned,Learned Basis,-0.18000000000000002,21,0.9770103693008423
Learned,Learned Basis,-0.18000000000000002,22,0.9663304686546326
Learned,Learned Basis,-0.18000000000000002,23,0.9489139318466187
Learned,Learned Basis,-0.18000000000000002,24,0.9518742561340332
Learned,Learned Basis,-0.18000000000000002,25,0.9503948092460632
Learned,Learned Basis,-0.18000000000000002,26,0.9567590355873108
Learned,Learned Basis,-0.18000000000000002,27,0.9659667611122131
Learned,Learned Basis,-0.18000000000000002,28,0.9565845727920532
Learned,Learned Basis,-0.18000000000000002,29,0.958043098449707
Learned,Learned Basis,-0.18000000000000002,30,0.9684979915618896
Learned,Learned Basis,-0.18000000000000002,31,0.9698166251182556
Learned,Learned Basis,-0.18000000000000002,32,0.9673469066619873
Learned,Learned Basis,-0.18000000000000002,33,0.9722387194633484
Learned,Learned Basis,-0.18000000000000002,34,0.9713019728660583
Learned,Learned Basis,-0.18000000000000002,35,0.9757565259933472
Learned,Learned Basis,-0.18000000000000002,36,0.9730384349822998
Learned,Learned Basis,-0.18000000000000002,37,0.9747973084449768
Learned,Learned Basis,-0.18000000000000002,38,0.9754912853240967
Learned,Learned Basis,-0.18000000000000002,39,0.9767826199531555
Learned,Learned Basis,-0.18000000000000002,40,0.9743103981018066
Learned,Learned Basis,-0.18000000000000002,41,0.9766215085983276
Learned,Learned Basis,-0.18000000000000002,42,0.977283775806427
Learned,Learned Basis,-0.18000000000000002,43,0.976658821105957
Learned,Learned Basis,-0.18000000000000002,44,0.9772387146949768
Learned,Learned Basis,-0.17,0,0.9796320796012878
Learned,Learned Basis,-0.17,1,0.9814999103546143
Learned,Learned Basis,-0.17,2,0.9775987863540649
Learned,Learned Basis,-0.17,3,0.9811730980873108
Learned,Learned Basis,-0.17,4,0.98112952709198
Learned,Learned Basis,-0.17,5,0.9789791703224182
Learned,Learned Basis,-0.17,6,0.9778589010238647
Learned,Learned Basis,-0.17,7,0.9807668328285217
Learned,Learned Basis,-0.17,8,0.9801110625267029
Learned,Learned Basis,-0.17,9,0.979099690914154
Learned,Learned Basis,-0.17,10,0.9810101389884949
Learned,Learned Basis,-0.17,11,0.9807233810424805
Learned,Learned Basis,-0.17,12,0.9805783033370972
Learned,Learned Basis,-0.17,13,0.9815611839294434
Learned,Learned Basis,-0.17,14,0.9795446991920471
Learned,Learned Basis,-0.17,15,0.9856491684913635
Learned,Learned Basis,-0.17,16,0.9795999526977539
Learned,Learned Basis,-0.17,17,0.9817378520965576
Learned,Learned Basis,-0.17,18,0.9816262125968933
Learned,Learned Basis,-0.17,19,0.9810565710067749
Learned,Learned Basis,-0.17,20,0.979120671749115
Learned,Learned Basis,-0.17,21,0.9775688648223877
Learned,Learned Basis,-0.17,22,0.9677506685256958
Learned,Learned Basis,-0.17,23,0.9522861838340759
Learned,Learned Basis,-0.17,24,0.9551751017570496
Learned,Learned Basis,-0.17,25,0.9537769556045532
Learned,Learned Basis,-0.17,26,0.958881139755249
Learned,Learned Basis,-0.17,27,0.9666184782981873
Learned,Learned Basis,-0.17,28,0.9583224058151245
