method,method_label,modulation,N,M,K,R,train_ebn0_db,eval_ebn0_db,eps,offdiag_leakage,nearest_neighbor_leakage,residual_far_leakage,diag_mean_magnitude,diag_std_magnitude,diag_min_magnitude,diag_max_magnitude,clean_identity_loss,receiver_fro_norm_sq
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.2,0.11862627416849136,0.07785318791866302,0.04077308624982834,0.9355043768882751,9.528461220043027e-08,0.9355041980743408,0.9355044960975647,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.19,0.1075117439031601,0.07031012326478958,0.037201620638370514,0.9416805505752563,1.0954578044675145e-07,0.9416803121566772,0.9416805505752563,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.18000000000000002,0.09687749296426773,0.06314270943403244,0.03373478353023529,0.9475623369216919,2.0988960613976815e-07,0.9475619792938232,0.9475622773170471,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.17,0.08673767745494843,0.05635320767760277,0.030384469777345657,0.9531456232070923,2.0800038669221976e-07,0.9531456828117371,0.9531459808349609,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.16,0.07710541784763336,0.04994359612464905,0.027161821722984314,0.9584282636642456,1.1619084006042613e-07,0.958428144454956,0.9584285020828247,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.15000000000000002,0.06799311935901642,0.04391570761799812,0.024077411741018295,0.9634063839912415,1.2937243809574284e-07,0.9634063243865967,0.9634066820144653,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.14,0.059413012117147446,0.03827105835080147,0.021141953766345978,0.9680774211883545,1.4354699828800221e-07,0.9680771827697754,0.9680774211883545,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.13,0.05137600749731064,0.0330110602080822,0.01836494728922844,0.9724381566047668,9.017630731023019e-08,0.9724379181861877,0.9724383354187012,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.12000000000000001,0.0438922718167305,0.028136910870671272,0.015755360946059227,0.9764863848686218,7.947286206899662e-08,0.9764862060546875,0.9764865040779114,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.11000000000000001,0.03697182238101959,0.02364962361752987,0.013322198763489723,0.9802197217941284,1.7681595920748805e-07,0.9802193641662598,0.9802196621894836,2.7579010256073566e-11,45.0
