method,method_label,papr_db
OFDM,Classical OFDM,7.708909
OFDM,Classical OFDM,5.974475
OFDM,Classical OFDM,4.9644413
OFDM,Classical OFDM,6.7826395
OFDM,Classical OFDM,5.448184
OFDM,Classical OFDM,6.06802
OFDM,Classical OFDM,5.9616003
OFDM,Classical OFDM,7.0344734
OFDM,Classical OFDM,6.3359747
OFDM,Classical OFDM,7.182853
OFDM,Classical OFDM,5.731016
OFDM,Classical OFDM,5.773647
OFDM,Classical OFDM,7.358539
OFDM,Classical OFDM,6.2705903
OFDM,Classical OFDM,6.692789
OFDM,Classical OFDM,7.034338
OFDM,Classical OFDM,5.2498875
OFDM,Classical OFDM,7.6757936
OFDM,Classical OFDM,8.63858
OFDM,Classical OFDM,6.702451
OFDM,Classical OFDM,5.6995106
OFDM,Classical OFDM,8.009733
OFDM,Classical OFDM,5.5623884
OFDM,Classical OFDM,7.794281
OFDM,Classical OFDM,5.5775876
OFDM,Classical OFDM,5.7449155
OFDM,Classical OFDM,6.6471186
OFDM,Classical OFDM,6.320748
OFDM,Classical OFDM,7.7165895
OFDM,Classical OFDM,5.664358
OFDM,Classical OFDM,6.8524017
OFDM,Classical OFDM,5.8131914
OFDM,Classical OFDM,6.5758443
OFDM,Classical OFDM,5.4019165
OFDM,Classical OFDM,5.1408696
OFDM,Classical OFDM,5.737423
OFDM,Classical OFDM,5.355221
OFDM,Classical OFDM,7.5815525
OFDM,Classical OFDM,8.484949
OFDM,Classical OFDM,6.637286
OFDM,Classical OFDM,7.4630938
OFDM,Classical OFDM,5.9213853
OFDM,Classical OFDM,6.509737
OFDM,Classical OFDM,6.5886
OFDM,Classical OFDM,7.76766
OFDM,Classical OFDM,5.0018606
OFDM,Classical OFDM,5.863537
OFDM,Classical OFDM,6.505609
OFDM,Classical OFDM,6.2254524
OFDM,Classical OFDM,6.5998898
OFDM,Classical OFDM,7.791788
OFDM,Classical OFDM,5.956862
OFDM,Classical OFDM,6.170208
OFDM,Classical OFDM,4.9122753
OFDM,Classical OFDM,6.594845
OFDM,Classical OFDM,7.385321
OFDM,Classical OFDM,5.1401496
OFDM,Classical OFDM,8.545236
OFDM,Classical OFDM,5.983913
OFDM,Classical OFDM,6.6429615
OFDM,Classical OFDM,6.889091
OFDM,Classical OFDM,4.1605797
OFDM,Classical OFDM,6.422744
OFDM,Classical OFDM,8.970638
OFDM,Classical OFDM,5.433683
OFDM,Classical OFDM,6.238516
OFDM,Classical OFDM,7.360916
OFDM,Classical OFDM,7.481763
OFDM,Classical OFDM,6.9341893
OFDM,Classical OFDM,7.8023915
OFDM,Classical OFDM,6.1733174
OFDM,Classical OFDM,8.830851
OFDM,Classical OFDM,5.991225
OFDM,Classical OFDM,6.211529
OFDM,Classical OFDM,5.9532733
OFDM,Classical OFDM,5.580907
OFDM,Classical OFDM,5.8697605
OFDM,Classical OFDM,5.429064
OFDM,Classical OFDM,8.649773
OFDM,Classical OFDM,6.054037
OFDM,Classical OFDM,6.5413523
OFDM,Classical OFDM,6.078055
OFDM,Classical OFDM,6.176363
OFDM,Classical OFDM,5.550045
OFDM,Classical OFDM,6.5986185
OFDM,Classical OFDM,7.761077
OFDM,Classical OFDM,5.9246397
OFDM,Classical OFDM,6.2313266
OFDM,Classical OFDM,6.4378147
OFDM,Classical OFDM,7.03453
OFDM,Classical OFDM,6.699052
OFDM,Classical OFDM,6.8950014
OFDM,Classical OFDM,8.227808
OFDM,Classical OFDM,6.8878627
OFDM,Classical OFDM,6.8225183
OFDM,Classical OFDM,5.33848
OFDM,Classical OFDM,6.9068713
OFDM,Classical OFDM,6.4317822
OFDM,Classical OFDM,7.383546
OFDM,Classical OFDM,8.510884
OFDM,Classical OFDM,7.7085614
OFDM,Classical OFDM,8.879459
OFDM,Classical OFDM,10.089338
OFDM,Classical OFDM,7.1831408
OFDM,Classical OFDM,7.6465726
OFDM,Classical OFDM,5.41534
OFDM,Classical OFDM,4.99404
OFDM,Classical OFDM,7.691601
OFDM,Classical OFDM,6.1479564
OFDM,Classical OFDM,6.3984766
OFDM,Classical OFDM,7.060564
OFDM,Classical OFDM,6.7719812
OFDM,Classical OFDM,5.32023
OFDM,Classical OFDM,7.177274
OFDM,Classical OFDM,6.876378
OFDM,Classical OFDM,5.155139
OFDM,Classical OFDM,7.1736817
OFDM,Classical OFDM,6.427937
OFDM,Classical OFDM,5.844342
OFDM,Classical OFDM,5.596683
OFDM,Classical OFDM,6.027243
OFDM,Classical OFDM,7.3740487
OFDM,Classical OFDM,9.065249
OFDM,Classical OFDM,6.2314014
OFDM,Classical OFDM,5.563381
OFDM,Classical OFDM,7.133351
OFDM,Classical OFDM,7.398703
OFDM,Classical OFDM,7.3809614
OFDM,Classical OFDM,8.072892
OFDM,Classical OFDM,6.821906
OFDM,Classical OFDM,6.4489355
OFDM,Classical OFDM,5.2820683
OFDM,Classical OFDM,6.9756165
OFDM,Classical OFDM,7.297271
OFDM,Classical OFDM,7.0153008
OFDM,Classical OFDM,5.7965465
OFDM,Classical OFDM,7.8737764
OFDM,Classical OFDM,6.4478226
OFDM,Classical OFDM,5.117732
OFDM,Classical OFDM,5.328928
OFDM,Classical OFDM,6.388781
OFDM,Classical OFDM,5.708621
OFDM,Classical OFDM,5.259149
OFDM,Classical OFDM,7.0791345
