method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.2,0.26582215049050073,0.8170242309570314,0.6959210280328989,1533041,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.2,0.20680150118741122,0.6059778386896306,0.6194079909473658,1192659,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.19,0.2515220642089844,0.798394636674361,0.6646759305149317,1450570,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.19,0.19488022544167258,0.585419394753196,0.5915050208568573,1123907,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.18000000000000002,0.2375089471990412,0.7773180874911221,0.6330495569854975,1369754,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.18000000000000002,0.18318349664861505,0.5641569657759232,0.563706623390317,1056450,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.17,0.2235795801336115,0.7528839111328126,0.6012312844395638,1289421,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.17,0.17108154296875,0.5413277365944603,0.53553207218647,986656,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.16,0.2093079306862571,0.7238374189897017,0.5693678390234709,1207114,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.16,0.15840513055974786,0.5159142234108665,0.507134148851037,913549,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.15000000000000002,0.19494680924849075,0.6906578757546163,0.5370881855487823,1124291,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.15000000000000002,0.1461807597767223,0.49008525501598016,0.4790397696197033,843049,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.14,0.17994793978604404,0.6506319912997157,0.5049405470490456,1037790,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.14,0.1336078643798828,0.4609749533913352,0.4505977891385555,770539,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.13,0.1640002510764382,0.6039040305397727,0.47222658805549145,945817,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.13,0.1217788349498402,0.4305863813920454,0.42206164076924324,702319,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.12000000000000001,0.14655373313210227,0.5486616654829546,0.43915376998484135,845200,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.12000000000000001,0.10947695645419034,0.3963907415216619,0.3934510676190257,631372,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.11000000000000001,0.12777328491210938,0.4854139848188921,0.4067185381427407,736890,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.11000000000000001,0.09687441045587714,0.35883747447620745,0.3651319183409214,558691,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.1,0.10746227611194957,0.4136255437677557,0.37391219567507505,619753,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.1,0.0835767225785689,0.3166899247602982,0.33706795796751976,482001,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.09000000000000001,0.08599922873757103,0.3348832563920455,0.3416305407881737,495972,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.09000000000000001,0.06962498751553622,0.2687801014293324,0.30914431530982256,401539,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.08000000000000002,0.0642915205522017,0.25265572287819604,0.3094555279240012,370780,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.08000000000000002,0.05482812361283736,0.21491033380681823,0.2813413729891181,316203,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.07,0.0435439023104581,0.1724583018909801,0.27765234280377626,251125,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.07,0.0396775332364169,0.15694427490234378,0.25435999128967524,228827,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.06,0.02625239979137074,0.10442837801846591,0.24698940431699157,151402,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.06,0.025489113547585228,0.10140783136541194,0.22827710025012493,147000,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.05000000000000002,0.013390107588334517,0.053416165438565345,0.2172488123178482,77223,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.05000000000000002,0.013923471624200994,0.055548928000710214,0.2032670322805643,80299,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.04000000000000001,0.005771983753551136,0.023052562366832386,0.18966773571446538,33288,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.04000000000000001,0.0063204331831498576,0.025249827991832383,0.18019920913502574,36451,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.03,0.002064271406693892,0.008253617720170454,0.16478660749271512,11905,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.03,0.0023604306307705965,0.00943964177911932,0.15949737699702382,13613,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.020000000000000018,0.0006412159312855114,0.0025634765625,0.1443583443760872,3698,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.020000000000000018,0.0008364590731534091,0.0033451427112926144,0.14280336443334818,4824,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.010000000000000009,0.0002229863947088068,0.000891945578835227,0.13049873150885105,1286,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,-0.010000000000000009,0.00031003085049715907,0.001240123401988636,0.13126942981034517,1788,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.0,0.0001314336603338068,0.0005257346413352271,0.12553614214994013,758,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.0,0.00017668984153053978,0.000706759366122159,0.12647592276334763,1019,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.009999999999999981,0.00023339011452414772,0.000933560458096591,0.13050398137420416,1346,5767168,,,,,Classical OFDM
