method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label,snr_sweep_cfo,snr_sweep_ebn0_db
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,0.0,0.0,0.14116512645374646,0.4799104170365765,0.5003680130466819,814123,5767168,,,,,Classical OFDM,0.0,0.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,0.0,0.0,0.14149388399991122,0.48118799382990046,0.4916788274422288,816019,5767168,,,,,Learned Basis,0.0,0.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,2.0,0.0,0.09790056402033026,0.3527547662908381,0.39717948250472546,564609,5767168,,,,,Classical OFDM,0.0,2.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,2.0,0.0,0.09870217063210228,0.355316162109375,0.3909069849178195,569232,5767168,,,,,Learned Basis,0.0,2.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,4.0,0.0,0.058656865900213066,0.22088831121271302,0.3156060604378581,338284,5767168,,,,,Classical OFDM,0.0,4.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,4.0,0.0,0.059584184126420456,0.2242390025745739,0.3110749162733555,343632,5767168,,,,,Learned Basis,0.0,4.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,6.0,0.0,0.027871218594637783,0.10839150168678978,0.25058441841974854,160738,5767168,,,,,Classical OFDM,0.0,6.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,6.0,0.0,0.028596878051757812,0.11105346679687503,0.2475594929419458,164923,5767168,,,,,Learned Basis,0.0,6.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,8.0,0.0,0.009214401245117188,0.03649624911221591,0.19903898099437356,53141,5767168,,,,,Classical OFDM,0.0,8.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,8.0,0.0,0.009762503884055397,0.03864981911399148,0.19739222060889006,56302,5767168,,,,,Learned Basis,0.0,8.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,10.0,0.0,0.00176239013671875,0.007038463245738638,0.15817259764298797,10164,5767168,,,,,Classical OFDM,0.0,10.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,10.0,0.0,0.001981388438831676,0.007909601384943184,0.15783205209299922,11427,5767168,,,,,Learned Basis,0.0,10.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.0,0.0001413171941583807,0.0005652687766335227,0.12553737917914987,815,5767168,,,,,Classical OFDM,0.0,12.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.0,0.00018952109596946022,0.000758084383877841,0.12648571748286486,1093,5767168,,,,,Learned Basis,0.0,12.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,14.0,0.0,3.6413019353693183e-06,1.4565207741477268e-05,0.09978956519626081,21,5767168,,,,,Classical OFDM,0.0,14.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,14.0,0.0,4.855069247159091e-06,1.942027698863636e-05,0.10204037744551897,28,5767168,,,,,Learned Basis,0.0,14.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,16.0,0.0,0.0,0.0,0.07932265079580247,0,5767168,,,,,Classical OFDM,0.0,16.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,16.0,0.0,0.0,0.0,0.08291497570462525,0,5767168,,,,,Learned Basis,0.0,16.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,18.0,0.0,0.0,0.0,0.06295474898070097,0,5767168,,,,,Classical OFDM,0.0,18.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,18.0,0.0,0.0,0.0,0.068093151319772,0,5767168,,,,,Learned Basis,0.0,18.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,20.0,0.0,0.0,0.0,0.05001668224576861,0,5767168,,,,,Classical OFDM,0.0,20.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,20.0,0.0,0.0,0.0,0.056797681376338005,0,5767168,,,,,Learned Basis,0.0,20.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,0.0,0.05,0.15599354830655185,0.5240305120294743,0.5307472180575132,899641,5767168,,,,,Classical OFDM,0.05,0.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,0.0,0.05,0.15261407331986862,0.5154647827148436,0.5141120906919241,880151,5767168,,,,,Learned Basis,0.05,0.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,2.0,0.05,0.11792026866566051,0.4206806529651989,0.4351924667134881,680066,5767168,,,,,Classical OFDM,0.05,2.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,2.0,0.05,0.11370121348987926,0.4074727838689631,0.4194091856479645,655734,5767168,,,,,Learned Basis,0.05,2.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,4.0,0.05,0.08443104137073863,0.3148775967684659,0.36167443450540304,486928,5767168,,,,,Classical OFDM,0.05,4.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,4.0,0.05,0.0789321552623402,0.2953553633256392,0.34569554310292006,455215,5767168,,,,,Learned Basis,0.05,4.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,6.0,0.05,0.05721439014781605,0.22025645862926138,0.3069473709911108,329965,5767168,,,,,Classical OFDM,0.05,6.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,6.0,0.05,0.05090401389382102,0.19659493186257102,0.2900075130164623,293572,5767168,,,,,Learned Basis,0.05,6.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,8.0,0.05,0.0368331562389027,0.14467274058948867,0.2665769373998046,212423,5767168,,,,,Classical OFDM,0.05,8.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,8.0,0.05,0.031055277044122868,0.12223677201704547,0.24860103894025087,179101,5767168,,,,,Learned Basis,0.05,8.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,10.0,0.05,0.022761084816672585,0.09034451571377841,0.23768072482198477,131267,5767168,,,,,Classical OFDM,0.05,10.0
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,10.0,0.05,0.01868438720703125,0.07424094460227272,0.21856133081018925,107756,5767168,,,,,Learned Basis,0.05,10.0
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.05,0.013432762839577415,0.05358956076882102,0.2173904050141573,77469,5767168,,,,,Classical OFDM,0.05,12.0
