method,method_label,eps,ref_real,ref_imag,est_real,est_imag
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.35820574,-0.42340463
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,1.020884,-0.14788894
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-0.8007513,1.0291406
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.362827,-1.0304949
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.3386341,-0.91245747
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,0.8883175,1.0296211
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-1.042422,-0.9804322
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.32975996,-0.13090988
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.2962167,-0.36352924
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,1.0504816,-0.3353563
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,0.85134685,0.38326937
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.34341568,0.24840769
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,0.8431637,0.3283099
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,0.9564808,0.95571864
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-0.88026106,0.3442508
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-1.1148216,-0.47562686
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-0.9304116,-0.9049587
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,0.91705155,-0.43739805
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,0.83061635,-0.9450627
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,0.9797187,0.24564421
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,0.95495605,0.34084532
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-1.1594472,-0.37063316
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.13807438,-0.13678338
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,0.96813303,-1.0192744
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-0.9944565,0.2779674
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.369318,-1.0045778
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-0.968931,-0.9339056
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.23624125,0.30770552
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,0.6995785,-0.31345478
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.42379132,-0.395439
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.36715978,0.2869961
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.45429093,-0.9498569
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-0.9608133,-0.9106887
