method,method_label,eps,stream,diag_magnitude
Learned,Learned Basis,-0.2,0,0.9762121438980103
Learned,Learned Basis,-0.2,1,0.976876974105835
Learned,Learned Basis,-0.2,2,0.9805541038513184
Learned,Learned Basis,-0.2,3,0.9788405895233154
Learned,Learned Basis,-0.2,4,0.9798258543014526
Learned,Learned Basis,-0.2,5,0.9781866669654846
Learned,Learned Basis,-0.2,6,0.9774288535118103
Learned,Learned Basis,-0.2,7,0.9816849827766418
Learned,Learned Basis,-0.2,8,0.9815930724143982
Learned,Learned Basis,-0.2,9,0.980442464351654
Learned,Learned Basis,-0.2,10,0.9816229343414307
Learned,Learned Basis,-0.2,11,0.9830096960067749
Learned,Learned Basis,-0.2,12,0.980177104473114
Learned,Learned Basis,-0.2,13,0.9807911515235901
Learned,Learned Basis,-0.2,14,0.9807422161102295
Learned,Learned Basis,-0.2,15,0.98219233751297
Learned,Learned Basis,-0.2,16,0.9789206385612488
Learned,Learned Basis,-0.2,17,0.9815279841423035
Learned,Learned Basis,-0.2,18,0.9809422492980957
Learned,Learned Basis,-0.2,19,0.9778501391410828
Learned,Learned Basis,-0.2,20,0.9780732989311218
Learned,Learned Basis,-0.2,21,0.9663897752761841
Learned,Learned Basis,-0.2,22,0.932955265045166
Learned,Learned Basis,-0.2,23,0.9328936338424683
Learned,Learned Basis,-0.2,24,0.9536648392677307
Learned,Learned Basis,-0.2,25,0.9678946137428284
Learned,Learned Basis,-0.2,26,0.9452484846115112
Learned,Learned Basis,-0.2,27,0.9459757208824158
Learned,Learned Basis,-0.2,28,0.9442915916442871
Learned,Learned Basis,-0.2,29,0.9654948711395264
Learned,Learned Basis,-0.2,30,0.9696764349937439
Learned,Learned Basis,-0.2,31,0.9663360118865967
Learned,Learned Basis,-0.2,32,0.9698808193206787
Learned,Learned Basis,-0.2,33,0.971211850643158
Learned,Learned Basis,-0.2,34,0.9756485819816589
Learned,Learned Basis,-0.2,35,0.9744620323181152
Learned,Learned Basis,-0.2,36,0.9735499620437622
Learned,Learned Basis,-0.2,37,0.9749776124954224
Learned,Learned Basis,-0.2,38,0.9745899438858032
Learned,Learned Basis,-0.2,39,0.9762758612632751
Learned,Learned Basis,-0.2,40,0.9774089455604553
Learned,Learned Basis,-0.2,41,0.9751693606376648
Learned,Learned Basis,-0.2,42,0.9762739539146423
Learned,Learned Basis,-0.2,43,0.9772921800613403
Learned,Learned Basis,-0.19,0,0.9763385057449341
Learned,Learned Basis,-0.19,1,0.9770205020904541
Learned,Learned Basis,-0.19,2,0.9806945323944092
Learned,Learned Basis,-0.19,3,0.9789708852767944
Learned,Learned Basis,-0.19,4,0.9799472093582153
Learned,Learned Basis,-0.19,5,0.9783169627189636
Learned,Learned Basis,-0.19,6,0.9775564074516296
Learned,Learned Basis,-0.19,7,0.9818178415298462
Learned,Learned Basis,-0.19,8,0.9817274212837219
Learned,Learned Basis,-0.19,9,0.9805842638015747
Learned,Learned Basis,-0.19,10,0.9817670583724976
Learned,Learned Basis,-0.19,11,0.9831424355506897
Learned,Learned Basis,-0.19,12,0.980326235294342
Learned,Learned Basis,-0.19,13,0.9809396266937256
Learned,Learned Basis,-0.19,14,0.9809064269065857
Learned,Learned Basis,-0.19,15,0.9823641180992126
Learned,Learned Basis,-0.19,16,0.9791207909584045
Learned,Learned Basis,-0.19,17,0.9817551374435425
Learned,Learned Basis,-0.19,18,0.98118656873703
Learned,Learned Basis,-0.19,19,0.9782446622848511
Learned,Learned Basis,-0.19,20,0.9786731004714966
Learned,Learned Basis,-0.19,21,0.9676664471626282
Learned,Learned Basis,-0.19,22,0.9372338652610779
Learned,Learned Basis,-0.19,23,0.9371449947357178
Learned,Learned Basis,-0.19,24,0.9560794234275818
Learned,Learned Basis,-0.19,25,0.9691015481948853
Learned,Learned Basis,-0.19,26,0.9477593302726746
Learned,Learned Basis,-0.19,27,0.9485516548156738
Learned,Learned Basis,-0.19,28,0.9472408294677734
Learned,Learned Basis,-0.19,29,0.9660497307777405
Learned,Learned Basis,-0.19,30,0.9700617790222168
Learned,Learned Basis,-0.19,31,0.9669100046157837
Learned,Learned Basis,-0.19,32,0.970322847366333
Learned,Learned Basis,-0.19,33,0.9715304374694824
Learned,Learned Basis,-0.19,34,0.9758597612380981
Learned,Learned Basis,-0.19,35,0.9746919274330139
Learned,Learned Basis,-0.19,36,0.9737632274627686
Learned,Learned Basis,-0.19,37,0.9751717448234558
Learned,Learned Basis,-0.19,38,0.9747666716575623
Learned,Learned Basis,-0.19,39,0.9764373898506165
Learned,Learned Basis,-0.19,40,0.9775491952896118
Learned,Learned Basis,-0.19,41,0.9753397703170776
Learned,Learned Basis,-0.19,42,0.9764151573181152
Learned,Learned Basis,-0.19,43,0.9774367213249207
Learned,Learned Basis,-0.18000000000000002,0,0.9764582514762878
Learned,Learned Basis,-0.18000000000000002,1,0.9771575927734375
Learned,Learned Basis,-0.18000000000000002,2,0.9808282852172852
Learned,Learned Basis,-0.18000000000000002,3,0.9790942668914795
Learned,Learned Basis,-0.18000000000000002,4,0.9800627827644348
Learned,Learned Basis,-0.18000000000000002,5,0.978441059589386
Learned,Learned Basis,-0.18000000000000002,6,0.977677583694458
Learned,Learned Basis,-0.18000000000000002,7,0.9819448590278625
Learned,Learned Basis,-0.18000000000000002,8,0.9818558096885681
Learned,Learned Basis,-0.18000000000000002,9,0.9807195067405701
Learned,Learned Basis,-0.18000000000000002,10,0.9819052219390869
Learned,Learned Basis,-0.18000000000000002,11,0.9832693338394165
Learned,Learned Basis,-0.18000000000000002,12,0.9804690480232239
Learned,Learned Basis,-0.18000000000000002,13,0.9810816049575806
Learned,Learned Basis,-0.18000000000000002,14,0.98106449842453
Learned,Learned Basis,-0.18000000000000002,15,0.9825296998023987
Learned,Learned Basis,-0.18000000000000002,16,0.9793124794960022
Learned,Learned Basis,-0.18000000000000002,17,0.9819746017456055
Learned,Learned Basis,-0.18000000000000002,18,0.9814218282699585
Learned,Learned Basis,-0.18000000000000002,19,0.9786263704299927
Learned,Learned Basis,-0.18000000000000002,20,0.9792526960372925
Learned,Learned Basis,-0.18000000000000002,21,0.968902051448822
