method,method_label,modulation,N,M,K,R,train_ebn0_db,eval_ebn0_db,eps,offdiag_leakage,nearest_neighbor_leakage,residual_far_leakage,diag_mean_magnitude,diag_std_magnitude,diag_min_magnitude,diag_max_magnitude,clean_identity_loss,receiver_fro_norm_sq
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.2,0.1184353157877922,0.07782982289791107,0.040605492889881134,0.9355043768882751,9.294920033653398e-08,0.9355041980743408,0.9355044960975647,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.19,0.10733544826507568,0.07028768956661224,0.03704775869846344,0.9416805505752563,1.104186040379318e-07,0.9416803121566772,0.9416805505752563,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.18000000000000002,0.09671596437692642,0.06312139332294464,0.03359457105398178,0.9475622177124023,1.055585272524695e-07,0.9475619792938232,0.9475622773170471,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.17,0.08659055083990097,0.05633316561579704,0.030257385224103928,0.9531456232070923,2.0706229975075985e-07,0.9531456232070923,0.9531459808349609,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.16,0.07697270810604095,0.049924977123737335,0.02704773098230362,0.9584283232688904,8.429369557916289e-08,0.958428144454956,0.9584285020828247,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.15000000000000002,0.0678744986653328,0.043898601084947586,0.023975897580385208,0.963406503200531,9.381385979168044e-08,0.9634063243865967,0.9634066820144653,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.14,0.05930792912840843,0.038255564868450165,0.021052364259958267,0.9680774211883545,1.4122196034804801e-07,0.9680771827697754,0.9680774211883545,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.13,0.05128396302461624,0.032997213304042816,0.018286749720573425,0.9724380970001221,8.895427328070582e-08,0.9724379181861877,0.9724383354187012,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.12000000000000001,0.04381272941827774,0.028124719858169556,0.015688009560108185,0.9764863848686218,8.037088861101438e-08,0.9764862060546875,0.9764865040779114,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.11000000000000001,0.03690410405397415,0.023639071732759476,0.013265032321214676,0.9802196621894836,1.2612083821750275e-07,0.9802193641662598,0.9802196621894836,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.1,0.03056647628545761,0.019541138783097267,0.011025337502360344,0.9836354851722717,1.267594456066945e-07,0.983635425567627,0.9836357235908508,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.09000000000000001,0.02480820007622242,0.015831660479307175,0.008976539596915245,0.9867324233055115,8.665531936458137e-08,0.9867322444915771,0.9867326021194458,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.08000000000000002,0.0196364838629961,0.01251124031841755,0.007125243544578552,0.9895082712173462,1.3862522507679387e-07,0.9895079731941223,0.989508330821991,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.07,0.01505777332931757,0.00958041101694107,0.005477362312376499,0.9919614195823669,1.799392634893593e-07,0.9919610619544983,0.9919613599777222,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.06,0.011077909730374813,0.0070395926013588905,0.0040383171290159225,0.9940901398658752,6.902076421511083e-08,0.9940900206565857,0.9940903186798096,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.05000000000000002,0.007701718248426914,0.004889133386313915,0.002812584862112999,0.9958940148353577,2.4641246909595793e-07,0.9958935976028442,0.9958938956260681,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.04000000000000001,0.004933718591928482,0.0031293171923607588,0.0018044013995677233,0.9973708987236023,1.0086466062375621e-07,0.997370719909668,0.9973710775375366,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.03,0.0027772521134465933,0.0017603571759536862,0.001016894937492907,0.9985206127166748,7.986698591366803e-08,0.9985204935073853,0.9985207915306091,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.020000000000000018,0.001235020230524242,0.0007824174244888127,0.00045260280603542924,0.9993425011634827,1.481965909988503e-07,0.9993422627449036,0.9993425011634827,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,-0.010000000000000009,0.0003088232479058206,0.00019560987129807472,0.00011321337660774589,0.9998356103897095,6.960323162275017e-08,0.9998354911804199,0.9998357892036438,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,0.0,0.0,1.28400892349112e-12,0.0,1.0,2.8415399810910458e-08,0.9999998807907104,1.0000001192092896,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,0.009999999999999981,0.00030873657669872046,0.00019561000226531178,0.00011312657443340868,0.9998356103897095,1.0517536708221087e-07,0.9998353719711304,0.9998357892036438,2.7512497488557663e-11,44.0
OFDM,Classical OFDM,16QAM,44,64,50,6,15.0,12.0,0.01999999999999999,0.0012349336175248027,0.0007824179483577609,0.0004525156691670418,0.9993425011634827,1.8061109585687518e-07,0.9993422031402588,0.9993424415588379,2.7512497488557663e-11,44.0
