method,method_label,papr_db
OFDM,Classical OFDM,6.4509206
OFDM,Classical OFDM,6.057165
OFDM,Classical OFDM,8.541059
OFDM,Classical OFDM,6.624453
OFDM,Classical OFDM,6.0100746
OFDM,Classical OFDM,7.79589
OFDM,Classical OFDM,7.656653
OFDM,Classical OFDM,7.5543995
OFDM,Classical OFDM,4.990291
OFDM,Classical OFDM,5.808682
OFDM,Classical OFDM,8.135195
OFDM,Classical OFDM,5.197962
OFDM,Classical OFDM,4.4532676
OFDM,Classical OFDM,7.572917
OFDM,Classical OFDM,5.91671
OFDM,Classical OFDM,6.1154346
OFDM,Classical OFDM,7.243825
OFDM,Classical OFDM,5.272723
OFDM,Classical OFDM,7.4462824
OFDM,Classical OFDM,7.0558853
OFDM,Classical OFDM,5.9337068
OFDM,Classical OFDM,8.725542
OFDM,Classical OFDM,5.7023525
OFDM,Classical OFDM,6.6933346
OFDM,Classical OFDM,6.2186375
OFDM,Classical OFDM,5.457696
OFDM,Classical OFDM,5.471307
OFDM,Classical OFDM,5.654302
OFDM,Classical OFDM,6.912167
OFDM,Classical OFDM,6.047356
OFDM,Classical OFDM,5.6311126
OFDM,Classical OFDM,6.584391
OFDM,Classical OFDM,6.4088273
OFDM,Classical OFDM,6.6745067
OFDM,Classical OFDM,6.0249176
OFDM,Classical OFDM,6.4226027
OFDM,Classical OFDM,8.159168
OFDM,Classical OFDM,7.7347727
OFDM,Classical OFDM,6.9152923
OFDM,Classical OFDM,7.21996
OFDM,Classical OFDM,7.7128105
OFDM,Classical OFDM,7.1895275
OFDM,Classical OFDM,7.736442
OFDM,Classical OFDM,6.3066144
OFDM,Classical OFDM,6.7120924
OFDM,Classical OFDM,6.9967756
OFDM,Classical OFDM,6.511355
OFDM,Classical OFDM,5.924554
OFDM,Classical OFDM,6.122579
OFDM,Classical OFDM,6.369782
OFDM,Classical OFDM,5.3223934
OFDM,Classical OFDM,5.987794
OFDM,Classical OFDM,7.104351
OFDM,Classical OFDM,7.2991314
OFDM,Classical OFDM,5.4144278
OFDM,Classical OFDM,5.573067
OFDM,Classical OFDM,6.1544566
OFDM,Classical OFDM,5.561329
OFDM,Classical OFDM,5.957499
OFDM,Classical OFDM,5.2537193
OFDM,Classical OFDM,5.822435
OFDM,Classical OFDM,6.2158813
OFDM,Classical OFDM,6.6245413
OFDM,Classical OFDM,5.763409
OFDM,Classical OFDM,6.45434
OFDM,Classical OFDM,6.1970243
OFDM,Classical OFDM,6.5275044
OFDM,Classical OFDM,6.6550655
OFDM,Classical OFDM,6.0708942
OFDM,Classical OFDM,8.147569
OFDM,Classical OFDM,5.966344
OFDM,Classical OFDM,5.1885314
OFDM,Classical OFDM,5.2972465
OFDM,Classical OFDM,7.4877424
OFDM,Classical OFDM,6.2563343
OFDM,Classical OFDM,6.343074
OFDM,Classical OFDM,6.240699
OFDM,Classical OFDM,7.9832134
OFDM,Classical OFDM,7.673519
OFDM,Classical OFDM,5.466707
OFDM,Classical OFDM,7.4875
OFDM,Classical OFDM,5.543408
OFDM,Classical OFDM,6.6049423
OFDM,Classical OFDM,6.580695
OFDM,Classical OFDM,6.8026314
OFDM,Classical OFDM,6.5524983
OFDM,Classical OFDM,6.366826
OFDM,Classical OFDM,6.6881347
OFDM,Classical OFDM,7.364285
OFDM,Classical OFDM,7.059658
OFDM,Classical OFDM,5.7939463
OFDM,Classical OFDM,5.613083
OFDM,Classical OFDM,6.923644
OFDM,Classical OFDM,4.7972865
OFDM,Classical OFDM,5.639102
OFDM,Classical OFDM,5.095229
OFDM,Classical OFDM,4.337719
OFDM,Classical OFDM,5.4869623
OFDM,Classical OFDM,6.6868978
OFDM,Classical OFDM,5.7952127
OFDM,Classical OFDM,7.311617
OFDM,Classical OFDM,6.6993995
