method,method_label,frequency,psd,psd_db
OFDM,Classical OFDM,-0.5,6.854516893301996e-15,-107.22159507917962
OFDM,Classical OFDM,-0.499755859375,1.583627448429897e-08,-43.58483338413696
OFDM,Classical OFDM,-0.49951171875,6.321269091988523e-08,-37.573320806924634
OFDM,Classical OFDM,-0.499267578125,1.416902824887033e-07,-34.06796292872468
OFDM,Classical OFDM,-0.4990234375,2.505314268508422e-07,-31.592741471777224
OFDM,Classical OFDM,-0.498779296875,3.8870653995139597e-07,-29.685145113679972
OFDM,Classical OFDM,-0.49853515625,5.549042150169445e-07,-28.13918335325198
OFDM,Classical OFDM,-0.498291015625,7.475434307349902e-07,-26.844999296798825
OFDM,Classical OFDM,-0.498046875,9.647889149374009e-07,-25.737040540809026
OFDM,Classical OFDM,-0.497802734375,1.2045681739761323e-06,-24.773049745795777
OFDM,Classical OFDM,-0.49755859375,1.4645917396784458e-06,-23.92419778645312
OFDM,Classical OFDM,-0.497314453125,1.7423745853904958e-06,-23.169948312696302
OFDM,Classical OFDM,-0.4970703125,2.0352607285626684e-06,-22.495163062879353
OFDM,Classical OFDM,-0.496826171875,2.3404474608819886e-06,-21.888374626344618
OFDM,Classical OFDM,-0.49658203125,2.6550130960155503e-06,-21.340696914179745
OFDM,Classical OFDM,-0.496337890625,2.975944696662118e-06,-20.8451150276866
OFDM,Classical OFDM,-0.49609375,3.300166960346184e-06,-20.396004469886968
OFDM,Classical OFDM,-0.495849609375,3.624571146595681e-06,-19.98879730100051
OFDM,Classical OFDM,-0.49560546875,3.946045783617042e-06,-19.61974239219614
OFDM,Classical OFDM,-0.495361328125,4.261505719623891e-06,-19.285732833531846
OFDM,Classical OFDM,-0.4951171875,4.567922912279419e-06,-18.984175928271007
OFDM,Classical OFDM,-0.494873046875,4.862354238515304e-06,-18.712897635822138
OFDM,Classical OFDM,-0.49462890625,5.141969718187218e-06,-18.47006844334454
OFDM,Classical OFDM,-0.494384765625,5.404081234334252e-06,-18.25414490296424
OFDM,Classical OFDM,-0.494140625,5.646167115072421e-06,-18.063826307897934
OFDM,Classical OFDM,-0.493896484375,5.865896798255495e-06,-17.898019410798383
OFDM,Classical OFDM,-0.49365234375,6.06115334418555e-06,-17.755810874401522
OFDM,Classical OFDM,-0.493408203125,6.230052803165428e-06,-17.636446314627648
OFDM,Classical OFDM,-0.4931640625,6.3709651556302505e-06,-17.539311291994306
OFDM,Classical OFDM,-0.492919921875,6.482528217056874e-06,-17.463919431886506
