stage,global_epoch,stage_epoch,modulation,N,M,train_ebn0_db,eval_ebn0_db,cfo_span,train_total,train_L0,train_Loff,train_Ldiag,train_LV,train_Lsym,train_Lnn,train_Lspec,val_total,val_L0,val_Loff,val_Ldiag,val_LV,val_Lsym,val_Lnn,val_Lspec,clean_offdiag_leakage,rx_fro_norm_sq,elapsed_s
Stage A,1,1,16QAM,44,64,15.0,12.0,0.0,0.0365564338862896,4.763172148369854e-11,0.0,0.0,44.000003814697266,0.01164514385163784,0.0,0.0,0.04190085828304291,0.0021041142754256725,0.0,0.0,43.61097717285156,0.014393002726137638,0.0,0.0,0.0020685833878815174,43.61097717285156,0.03780508297495544
Stage A,25,25,16QAM,44,64,15.0,12.0,0.0,0.036689113825559616,0.000641664199065417,0.0,0.0,42.863136291503906,0.011692703701555729,0.0,0.0,0.037318021059036255,0.0006220421055331826,0.0,0.0,42.81704330444336,0.01222996599972248,0.0,0.0,0.00043643539538607,42.81704330444336,0.12986904103308916
Stage A,50,50,16QAM,44,64,15.0,12.0,0.0,0.03651466965675354,0.0006316895014606416,0.0,0.0,42.66697692871094,0.011639593169093132,0.0,0.0,0.03743121773004532,0.0006236822810024023,0.0,0.0,42.642189025878906,0.012389153242111206,0.0,0.0,0.0003805018786806613,42.642189025878906,0.21818820806220174
Stage A,75,75,16QAM,44,64,15.0,12.0,0.0,0.03641133010387421,0.0006342675187624991,0.0,0.0,42.61914825439453,0.011573988012969494,0.0,0.0,0.03728562220931053,0.0006301358807832003,0.0,0.0,42.614356994628906,0.012278645299375057,0.0,0.0,0.0003750025061890483,42.614356994628906,0.3081062500132248
Stage A,100,100,16QAM,44,64,15.0,12.0,0.0,0.03624892979860306,0.000619543541688472,0.0,0.0,42.636924743652344,0.011448736302554607,0.0,0.0,0.0375954695045948,0.0006309142336249352,0.0,0.0,42.625518798828125,0.012521437369287014,0.0,0.0,0.00038286804920062423,42.625518798828125,0.39543050003703684
Stage A,125,125,16QAM,44,64,15.0,12.0,0.0,0.03671298176050186,0.0006678428035229445,0.0,0.0,42.605403900146484,0.011793950572609901,0.0,0.0,0.037666380405426025,0.0006645016255788505,0.0,0.0,42.60246658325195,0.01256051380187273,0.0,0.0,0.0004088546265847981,42.60246658325195,0.4840317079797387
Stage A,150,150,16QAM,44,64,15.0,12.0,0.0,0.03633010387420654,0.0006179835181683302,0.0,0.0,42.63819122314453,0.011514418758451939,0.0,0.0,0.03743293136358261,0.0006263210088945925,0.0,0.0,42.630889892578125,0.012392932549118996,0.0,0.0,0.0003800436679739505,42.630889892578125,0.5718932909658179
Stage A,175,175,16QAM,44,64,15.0,12.0,0.0,0.03692026063799858,0.000642740516923368,0.0,0.0,42.62919616699219,0.01197033654898405,0.0,0.0,0.037739574909210205,0.0006396532407961786,0.0,0.0,42.61806106567383,0.012632714584469795,0.0,0.0,0.0003874062094837427,42.61806106567383,0.6599565830547363
Stage A,200,200,16QAM,44,64,15.0,12.0,0.0,0.036037951707839966,0.0006607116665691137,0.0,0.0,42.584983825683594,0.011267796158790588,0.0,0.0,0.037680380046367645,0.0006653141463175416,0.0,0.0,42.57997131347656,0.01258006040006876,0.0,0.0,0.0003993058926425874,42.57997131347656,0.7502962079597637
Stage A,225,225,16QAM,44,64,15.0,12.0,0.0,0.03724906966090202,0.000647656386718154,0.0,0.0,42.60749053955078,0.012238132767379284,0.0,0.0,0.03760156035423279,0.0006393308285623789,0.0,0.0,42.6236686706543,0.012520316056907177,0.0,0.0,0.0003887905040755868,42.6236686706543,0.839478541049175
Stage A,250,250,16QAM,44,64,15.0,12.0,0.0,0.03655358403921127,0.0006466370541602373,0.0,0.0,42.63102340698242,0.011673147790133953,0.0,0.0,0.03788234293460846,0.0006498209550045431,0.0,0.0,42.634090423583984,0.012732381001114845,0.0,0.0,0.0004060485225636512,42.634090423583984,0.9298000410199165
Stage A,275,275,16QAM,44,64,15.0,12.0,0.0,0.03628988564014435,0.0006351968622766435,0.0,0.0,42.63670349121094,0.011469069868326187,0.0,0.0,0.037934936583042145,0.0006283652619458735,0.0,0.0,42.639251708984375,0.012789556756615639,0.0,0.0,0.0003844414313789457,42.639251708984375,1.0178219160297886
Stage A,300,300,16QAM,44,64,15.0,12.0,0.0,0.03606037423014641,0.0006297805812209845,0.0,0.0,42.618621826171875,0.011297023855149746,0.0,0.0,0.03767585754394531,0.0006238024216145277,0.0,0.0,42.63252258300781,0.01258863601833582,0.0,0.0,0.0003776162920985371,42.63252258300781,1.1066827500471845
Stage A,325,325,16QAM,44,64,15.0,12.0,0.0,0.03597850352525711,0.0006323311245068908,0.0,0.0,42.620582580566406,0.011228702962398529,0.0,0.0,0.03760937973856926,0.0006394916563294828,0.0,0.0,42.62160110473633,0.012527271173894405,0.0,0.0,0.0003897033166140318,42.62160110473633,1.1995429580565542
Stage A,350,350,16QAM,44,64,15.0,12.0,0.0,0.036071598529815674,0.0006344457506202161,0.0,0.0,42.628170013427734,0.01129845343530178,0.0,0.0,0.037515148520469666,0.0006405924796126783,0.0,0.0,42.63271713256836,0.012446558102965355,0.0,0.0,0.00039273270522244275,42.63271713256836,1.2883677079807967
Stage B,351,1,16QAM,44,64,15.0,12.0,0.05,0.055358871817588806,0.0006301358807832003,0.00045742507791146636,0.003223792416974902,42.614356994628906,0.025886986404657364,6.441537698265165e-05,0.0,0.054953135550022125,0.0005583505844697356,0.00037574366433545947,0.003219785401597619,42.583213806152344,0.025701254606246948,5.35255458089523e-05,0.0,0.00029090087627992034,42.583213806152344,1.2976136660436168
Stage B,375,25,16QAM,44,64,15.0,12.0,0.05,0.05518176034092903,0.0009556692675687373,0.0006153574213385582,0.0032117741648107767,42.29536819458008,0.02550021931529045,6.471807864727452e-05,0.0,0.05587994307279587,0.0009885613108053803,0.0006338817765936255,0.0032114891801029444,42.27018737792969,0.026028646156191826,6.538244633702561e-05,0.0,0.0005766366375610232,42.27018737792969,1.3721500410465524
Stage B,400,50,16QAM,44,64,15.0,12.0,0.05,0.055094700306653976,0.0009219631319865584,0.0005645497585646808,0.0032188580371439457,42.31231689453125,0.025492915883660316,5.7221477618440986e-05,0.0,0.05615990608930588,0.0009353686473332345,0.0005726037779822946,0.003217230550944805,42.301414489746094,0.02633502520620823,5.509424227057025e-05,0.0,0.000524304632563144,42.301414489746094,1.4501710829790682
Stage B,425,75,16QAM,44,64,15.0,12.0,0.05,0.05489932745695114,0.000928216555621475,0.000560375745408237,0.0032094877678900957,42.30821990966797,0.0253433920443058,5.0649043259909377e-05,0.0,0.05520721524953842,0.0009209926938638091,0.0005541722057387233,0.0032096330542117357,42.31078338623047,0.02559809945523739,5.155783219379373e-05,0.0,0.0005103609873913229,42.31078338623047,1.5298537909984589
Stage B,450,100,16QAM,44,64,15.0,12.0,0.05,0.0555267408490181,0.0009104114142246544,0.0005286186933517456,0.003212984185665846,42.357784271240234,0.02586260996758938,5.0070266297552735e-05,0.0,0.05592474341392517,0.0009181919158436358,0.0005385193508118391,0.0032138749957084656,42.36771774291992,0.026163361966609955,5.0291011575609446e-05,0.0,0.000496489112265408,42.36771774291992,1.6082555829780176
Stage B,475,125,16QAM,44,64,15.0,12.0,0.05,0.055807143449783325,0.0009179642074741423,0.0005311413551680744,0.0031859134323894978,42.34466552734375,0.02608771249651909,5.064620927441865e-05,0.0,0.05613645166158676,0.0009274330222979188,0.0005485086003318429,0.0031842913012951612,42.34908676147461,0.026330746710300446,4.9283760745311156e-05,0.0,0.0005092137143947184,42.34908676147461,1.6873653329676017
Stage B,500,150,16QAM,44,64,15.0,12.0,0.05,0.054524023085832596,0.0008367046248167753,0.0004981661913916469,0.003149105701595545,42.41703796386719,0.025123676285147667,5.3649069741368294e-05,0.0,0.055434051901102066,0.0008396966150030494,0.000497937377076596,0.003145617200061679,42.40838623046875,0.025855323299765587,5.150098149897531e-05,0.0,0.00045570015208795667,42.40838623046875,1.7649927909951657
Stage B,525,175,16QAM,44,64,15.0,12.0,0.05,0.054965682327747345,0.0008508900064043701,0.000499239657074213,0.003095543710514903,42.40142059326172,0.025480298325419426,5.199699808144942e-05,0.0,0.055768467485904694,0.0008650454110465944,0.0005077616078779101,0.0030937788542360067,42.388526916503906,0.026109565049409866,5.303583020577207e-05,0.0,0.0004610393662005663,42.388526916503906,1.8431083749746904
Stage B,550,200,16QAM,44,64,15.0,12.0,0.05,0.0540303997695446,0.0008700715261511505,0.0005115577368997037,0.0030325576663017273,42.354637145996094,0.024721017107367516,6.861286965431646e-05,0.0,0.05560876801609993,0.0008544764132238925,0.0004972662427462637,0.003031244734302163,42.354766845703125,0.026009898632764816,6.488204235211015e-05,0.0,0.0004387229273561388,42.354766845703125,1.9209719160571694
Stage B,575,225,16QAM,44,64,15.0,12.0,0.05,0.05345410108566284,0.0008278837776742876,0.00050778326112777,0.002986174076795578,42.41272735595703,0.024276696145534515,7.22451222827658e-05,0.0,0.054514817893505096,0.0008350280695594847,0.0005111319478601217,0.002986215054988861,42.41575622558594,0.02511710859835148,7.089762948453426e-05,0.0,0.00043866821215488017,42.41575622558594,1.9988537500612438
