method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.2,0.2659669664171007,0.817196994357639,0.695951908826828,1568737,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.2,0.2388821072048611,0.6576985677083332,0.7041394580155611,1408984,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.2,0.23861287434895834,0.6586778428819444,0.7052202690392733,1407396,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.19,0.2516020033094618,0.7978013780381945,0.6653136517852545,1484009,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.19,0.22564832899305556,0.6381591796874999,0.6729128193110228,1330928,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.19,0.22566680908203124,0.6392306857638889,0.6739211063832045,1331037,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.18000000000000002,0.23782772488064235,0.7779269748263887,0.633329076692462,1402765,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.18000000000000002,0.21281399197048612,0.6183959960937501,0.6412641853094101,1255228,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.18000000000000002,0.21300811767578126,0.6196811252170137,0.6421854421496391,1256373,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.17,0.2235410902235243,0.7527832031249999,0.6014418117702007,1318499,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.17,0.19961480034722223,0.5966227213541666,0.6090226098895073,1177376,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.17,0.19996490478515624,0.5983846028645833,0.6098759118467569,1179441,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.16,0.2093319363064236,0.7242004394531251,0.5696563944220543,1234690,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.16,0.18631642659505207,0.5727254231770835,0.5767979212105274,1098939,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.16,0.18641425238715278,0.5742357042100694,0.5775612071156502,1099516,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.15000000000000002,0.19501495361328125,0.690625,0.5370737630873919,1150245,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.15000000000000002,0.1727998521592882,0.5472730848524305,0.544109258800745,1019215,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.15000000000000002,0.17261267768012153,0.548870849609375,0.5447758566588163,1018111,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.14,0.17992875840928818,0.6503573947482639,0.5048486217856407,1061263,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.14,0.15856984456380208,0.5195319281684028,0.5117073096334934,935283,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.14,0.1581876966688368,0.5212375217013888,0.5122989397495985,933029,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.13,0.16376258002387153,0.6030687120225695,0.4720967561006546,965911,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.13,0.14426066080729166,0.4897698296440972,0.4788494249805808,850884,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.13,0.1435331556532118,0.49128621419270824,0.4793514171615243,846593,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.12000000000000001,0.14659356011284722,0.5488532172309029,0.43942292872816324,864644,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.12000000000000001,0.13019239637586805,0.45645345052083336,0.4460835698992014,767906,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.12000000000000001,0.12941012912326388,0.4580620659722221,0.4464795161038637,763292,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.11000000000000001,0.12777574327256944,0.4853441026475694,0.40670488588511944,753652,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.11000000000000001,0.11651204427083334,0.41997002495659724,0.41310750134289265,687216,5898240,,,,,Learned Basis
