method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label,snr_sweep_cfo,snr_sweep_ebn0_db
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.0,0.14100884331597222,0.4797519259982639,0.5002842526882887,831704,5898240,,,,,Classical OFDM,0.0,0.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.0,0.14193945990668402,0.4820380316840279,0.5006474135443568,837193,5898240,,,,,Learned Basis,0.0,0.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.0,0.1422542995876736,0.4824374728732639,0.5019711349159479,839050,5898240,,,,,Learned + Nonlinear RX,0.0,0.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.0,0.09778255886501735,0.35237358940972224,0.39727038983255625,576745,5898240,,,,,Classical OFDM,0.0,2.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.0,0.09919043646918403,0.3568610297309028,0.3984840139746666,585049,5898240,,,,,Learned Basis,0.0,2.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.0,0.0993133544921875,0.3572285970052084,0.3992996634915471,585774,5898240,,,,,Learned + Nonlinear RX,0.0,2.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.0,0.05871412489149305,0.22093098958333332,0.3155639562755823,346310,5898240,,,,,Classical OFDM,0.0,4.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.0,0.060399034288194445,0.22694566514756945,0.31785116344690323,356248,5898240,,,,,Learned Basis,0.0,4.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.0,0.060618421766493055,0.22771674262152777,0.31816800870001316,357542,5898240,,,,,Learned + Nonlinear RX,0.0,4.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,6.0,0.0,0.027955118815104166,0.10866088867187498,0.25060230446979403,164886,5898240,,,,,Classical OFDM,0.0,6.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,6.0,0.0,0.02974972195095486,0.11542833116319444,0.2540592551231384,175471,5898240,,,,,Learned Basis,0.0,6.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,6.0,0.0,0.030052015516493055,0.11665310329861113,0.2539374930784106,177254,5898240,,,,,Learned + Nonlinear RX,0.0,6.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,8.0,0.0,0.009225633409288194,0.03657023111979167,0.19915608130395412,54415,5898240,,,,,Classical OFDM,0.0,8.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,8.0,0.0,0.0108367919921875,0.042871093750000006,0.20389534486457705,63918,5898240,,,,,Learned Basis,0.0,8.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,8.0,0.0,0.01105194091796875,0.04370185004340278,0.2033108789473772,65187,5898240,,,,,Learned + Nonlinear RX,0.0,8.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,10.0,0.0,0.0017449273003472222,0.006966145833333333,0.15814556321129203,10292,5898240,,,,,Classical OFDM,0.0,10.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,10.0,0.0,0.002516513400607639,0.010051133897569443,0.16429728409275413,14843,5898240,,,,,Learned Basis,0.0,10.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,10.0,0.0,0.002658589680989583,0.010618082682291669,0.16323484387248755,15681,5898240,,,,,Learned + Nonlinear RX,0.0,10.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.0,0.0001369900173611111,0.0005479600694444444,0.12564238696359098,808,5898240,,,,,Classical OFDM,0.0,12.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.0,0.0003256903754340278,0.0013014051649305554,0.1335704387165606,1921,5898240,,,,,Learned Basis,0.0,12.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.0,0.00035841200086805553,0.0014329698350694442,0.13200322026386857,2114,5898240,,,,,Learned + Nonlinear RX,0.0,12.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,14.0,0.0,3.5603841145833334e-06,1.4241536458333332e-05,0.09973321296274662,21,5898240,,,,,Classical OFDM,0.0,14.0
