method,method_label,eps,stream,diag_magnitude
Learned,Learned Basis,-0.2,0,0.9959083795547485
Learned,Learned Basis,-0.2,1,0.9949657320976257
Learned,Learned Basis,-0.2,2,0.9961460828781128
Learned,Learned Basis,-0.2,3,0.9952066540718079
Learned,Learned Basis,-0.2,4,0.9947414398193359
Learned,Learned Basis,-0.2,5,0.9944426417350769
Learned,Learned Basis,-0.2,6,0.9953522682189941
Learned,Learned Basis,-0.2,7,0.994879961013794
Learned,Learned Basis,-0.2,8,0.993689775466919
Learned,Learned Basis,-0.2,9,0.9961250424385071
Learned,Learned Basis,-0.2,10,0.9946820735931396
Learned,Learned Basis,-0.2,11,0.9941896200180054
Learned,Learned Basis,-0.2,12,0.9933573603630066
Learned,Learned Basis,-0.2,13,0.9939142465591431
Learned,Learned Basis,-0.2,14,0.9921371936798096
Learned,Learned Basis,-0.2,15,0.9932956695556641
Learned,Learned Basis,-0.2,16,0.9921073317527771
Learned,Learned Basis,-0.2,17,0.9940136671066284
Learned,Learned Basis,-0.2,18,0.9906501770019531
Learned,Learned Basis,-0.2,19,0.9893025755882263
Learned,Learned Basis,-0.2,20,0.9872877597808838
Learned,Learned Basis,-0.2,21,0.9836358428001404
Learned,Learned Basis,-0.2,22,0.9741544127464294
Learned,Learned Basis,-0.2,23,0.973950982093811
Learned,Learned Basis,-0.2,24,0.9825007915496826
Learned,Learned Basis,-0.2,25,0.9883302450180054
Learned,Learned Basis,-0.2,26,0.9887281060218811
Learned,Learned Basis,-0.2,27,0.9906652569770813
Learned,Learned Basis,-0.2,28,0.9916190505027771
Learned,Learned Basis,-0.2,29,0.9933207035064697
Learned,Learned Basis,-0.2,30,0.9931108355522156
Learned,Learned Basis,-0.2,31,0.993823230266571
Learned,Learned Basis,-0.2,32,0.9929259419441223
Learned,Learned Basis,-0.2,33,0.9928309321403503
Learned,Learned Basis,-0.2,34,0.9932810664176941
Learned,Learned Basis,-0.2,35,0.9937117695808411
Learned,Learned Basis,-0.2,36,0.9946304559707642
Learned,Learned Basis,-0.2,37,0.9931198954582214
Learned,Learned Basis,-0.2,38,0.9960206747055054
Learned,Learned Basis,-0.2,39,0.9943343997001648
Learned,Learned Basis,-0.2,40,0.9940482974052429
Learned,Learned Basis,-0.2,41,0.9948369264602661
Learned,Learned Basis,-0.2,42,0.993621289730072
Learned,Learned Basis,-0.2,43,0.9955057501792908
Learned,Learned Basis,-0.2,44,0.9951880574226379
Learned,Learned Basis,-0.19,0,0.995997965335846
Learned,Learned Basis,-0.19,1,0.9950728416442871
Learned,Learned Basis,-0.19,2,0.9962514638900757
Learned,Learned Basis,-0.19,3,0.9953153133392334
Learned,Learned Basis,-0.19,4,0.9948577284812927
Learned,Learned Basis,-0.19,5,0.9945544600486755
Learned,Learned Basis,-0.19,6,0.995468258857727
Learned,Learned Basis,-0.19,7,0.9950129985809326
Learned,Learned Basis,-0.19,8,0.9938191771507263
Learned,Learned Basis,-0.19,9,0.9962638020515442
Learned,Learned Basis,-0.19,10,0.9948408603668213
Learned,Learned Basis,-0.19,11,0.9943438172340393
Learned,Learned Basis,-0.19,12,0.9935309290885925
Learned,Learned Basis,-0.19,13,0.9941098093986511
Learned,Learned Basis,-0.19,14,0.9923769235610962
Learned,Learned Basis,-0.19,15,0.9935685992240906
Learned,Learned Basis,-0.19,16,0.9924310445785522
Learned,Learned Basis,-0.19,17,0.9943842887878418
Learned,Learned Basis,-0.19,18,0.991083025932312
Learned,Learned Basis,-0.19,19,0.9898381233215332
Learned,Learned Basis,-0.19,20,0.98802649974823
Learned,Learned Basis,-0.19,21,0.9847419857978821
Learned,Learned Basis,-0.19,22,0.9761010408401489
Learned,Learned Basis,-0.19,23,0.9758799076080322
Learned,Learned Basis,-0.19,24,0.983585774898529
Learned,Learned Basis,-0.19,25,0.9890598654747009
Learned,Learned Basis,-0.19,26,0.9892711043357849
Learned,Learned Basis,-0.19,27,0.9910985827445984
Learned,Learned Basis,-0.19,28,0.9919962286949158
Learned,Learned Basis,-0.19,29,0.9936226606369019
Learned,Learned Basis,-0.19,30,0.9933857917785645
Learned,Learned Basis,-0.19,31,0.9940440654754639
Learned,Learned Basis,-0.19,32,0.9931159019470215
Learned,Learned Basis,-0.19,33,0.9930024147033691
Learned,Learned Basis,-0.19,34,0.9934232831001282
Learned,Learned Basis,-0.19,35,0.9938601851463318
Learned,Learned Basis,-0.19,36,0.994773805141449
Learned,Learned Basis,-0.19,37,0.993251621723175
Learned,Learned Basis,-0.19,38,0.9961574077606201
Learned,Learned Basis,-0.19,39,0.994453489780426
Learned,Learned Basis,-0.19,40,0.9941660165786743
Learned,Learned Basis,-0.19,41,0.9949364066123962
Learned,Learned Basis,-0.19,42,0.9937298893928528
Learned,Learned Basis,-0.19,43,0.995609700679779
Learned,Learned Basis,-0.19,44,0.9952892661094666
Learned,Learned Basis,-0.18000000000000002,0,0.9960824847221375
Learned,Learned Basis,-0.18000000000000002,1,0.9951748251914978
Learned,Learned Basis,-0.18000000000000002,2,0.9963512420654297
Learned,Learned Basis,-0.18000000000000002,3,0.9954184293746948
Learned,Learned Basis,-0.18000000000000002,4,0.994968593120575
Learned,Learned Basis,-0.18000000000000002,5,0.9946616291999817
Learned,Learned Basis,-0.18000000000000002,6,0.9955790042877197
Learned,Learned Basis,-0.18000000000000002,7,0.995140016078949
Learned,Learned Basis,-0.18000000000000002,8,0.9939425587654114
Learned,Learned Basis,-0.18000000000000002,9,0.996396541595459
Learned,Learned Basis,-0.18000000000000002,10,0.9949928522109985
Learned,Learned Basis,-0.18000000000000002,11,0.9944912195205688
Learned,Learned Basis,-0.18000000000000002,12,0.9936966300010681
Learned,Learned Basis,-0.18000000000000002,13,0.9942970871925354
Learned,Learned Basis,-0.18000000000000002,14,0.9926075339317322
Learned,Learned Basis,-0.18000000000000002,15,0.9938306212425232
Learned,Learned Basis,-0.18000000000000002,16,0.9927428364753723
Learned,Learned Basis,-0.18000000000000002,17,0.9947412610054016
Learned,Learned Basis,-0.18000000000000002,18,0.9914992451667786
Learned,Learned Basis,-0.18000000000000002,19,0.9903548359870911
Learned,Learned Basis,-0.18000000000000002,20,0.9887402057647705
Learned,Learned Basis,-0.18000000000000002,21,0.9858120083808899
Learned,Learned Basis,-0.18000000000000002,22,0.9779855608940125
Learned,Learned Basis,-0.18000000000000002,23,0.9777473211288452
Learned,Learned Basis,-0.18000000000000002,24,0.9846364259719849
Learned,Learned Basis,-0.18000000000000002,25,0.9897631406784058
Learned,Learned Basis,-0.18000000000000002,26,0.9897948503494263
Learned,Learned Basis,-0.18000000000000002,27,0.9915159940719604
Learned,Learned Basis,-0.18000000000000002,28,0.9923596382141113
Learned,Learned Basis,-0.18000000000000002,29,0.9939135313034058
Learned,Learned Basis,-0.18000000000000002,30,0.9936501979827881
Learned,Learned Basis,-0.18000000000000002,31,0.9942559003829956
Learned,Learned Basis,-0.18000000000000002,32,0.9932979345321655
Learned,Learned Basis,-0.18000000000000002,33,0.9931662082672119
Learned,Learned Basis,-0.18000000000000002,34,0.9935580492019653
Learned,Learned Basis,-0.18000000000000002,35,0.9940019249916077
Learned,Learned Basis,-0.18000000000000002,36,0.9949110746383667
Learned,Learned Basis,-0.18000000000000002,37,0.993377685546875
Learned,Learned Basis,-0.18000000000000002,38,0.9962882399559021
Learned,Learned Basis,-0.18000000000000002,39,0.9945672154426575
Learned,Learned Basis,-0.18000000000000002,40,0.9942784905433655
Learned,Learned Basis,-0.18000000000000002,41,0.99503093957901
Learned,Learned Basis,-0.18000000000000002,42,0.9938331246376038
Learned,Learned Basis,-0.18000000000000002,43,0.9957084655761719
Learned,Learned Basis,-0.18000000000000002,44,0.9953855276107788
Learned,Learned Basis,-0.17,0,0.9961615800857544
Learned,Learned Basis,-0.17,1,0.9952719211578369
Learned,Learned Basis,-0.17,2,0.9964455366134644
Learned,Learned Basis,-0.17,3,0.9955163598060608
Learned,Learned Basis,-0.17,4,0.9950739741325378
Learned,Learned Basis,-0.17,5,0.9947630167007446
Learned,Learned Basis,-0.17,6,0.9956842064857483
Learned,Learned Basis,-0.17,7,0.9952613711357117
Learned,Learned Basis,-0.17,8,0.9940596222877502
Learned,Learned Basis,-0.17,9,0.9965227246284485
Learned,Learned Basis,-0.17,10,0.9951379895210266
Learned,Learned Basis,-0.17,11,0.9946315884590149
Learned,Learned Basis,-0.17,12,0.9938550591468811
Learned,Learned Basis,-0.17,13,0.9944764971733093
Learned,Learned Basis,-0.17,14,0.9928288459777832
Learned,Learned Basis,-0.17,15,0.9940820336341858
Learned,Learned Basis,-0.17,16,0.9930423498153687
Learned,Learned Basis,-0.17,17,0.9950841665267944
Learned,Learned Basis,-0.17,18,0.991897702217102
Learned,Learned Basis,-0.17,19,0.9908514022827148
Learned,Learned Basis,-0.17,20,0.9894269108772278
Learned,Learned Basis,-0.17,21,0.9868430495262146
Learned,Learned Basis,-0.17,22,0.9798021912574768
Learned,Learned Basis,-0.17,23,0.9795470833778381
Learned,Learned Basis,-0.17,24,0.9856492877006531
Learned,Learned Basis,-0.17,25,0.9904381036758423
Learned,Learned Basis,-0.17,26,0.9902982115745544
Learned,Learned Basis,-0.17,27,0.9919170141220093
Learned,Learned Basis,-0.17,28,0.9927085041999817
Learned,Learned Basis,-0.17,29,0.9941921234130859
Learned,Learned Basis,-0.17,30,0.993903398513794
Learned,Learned Basis,-0.17,31,0.9944581389427185
Learned,Learned Basis,-0.17,32,0.9934720993041992
Learned,Learned Basis,-0.17,33,0.9933225512504578
Learned,Learned Basis,-0.17,34,0.9936854839324951
Learned,Learned Basis,-0.17,35,0.9941372871398926
Learned,Learned Basis,-0.17,36,0.9950418472290039
Learned,Learned Basis,-0.17,37,0.9934979677200317
Learned,Learned Basis,-0.17,38,0.9964125752449036
Learned,Learned Basis,-0.17,39,0.9946748614311218
Learned,Learned Basis,-0.17,40,0.994385302066803
Learned,Learned Basis,-0.17,41,0.995120108127594
Learned,Learned Basis,-0.17,42,0.9939315319061279
Learned,Learned Basis,-0.17,43,0.995802104473114
Learned,Learned Basis,-0.17,44,0.9954764246940613
Learned,Learned Basis,-0.16,0,0.9962360858917236
Learned,Learned Basis,-0.16,1,0.995363712310791
Learned,Learned Basis,-0.16,2,0.9965344071388245
Learned,Learned Basis,-0.16,3,0.9956087470054626
Learned,Learned Basis,-0.16,4,0.9951743483543396
Learned,Learned Basis,-0.16,5,0.9948591589927673
Learned,Learned Basis,-0.16,6,0.9957836270332336
Learned,Learned Basis,-0.16,7,0.9953769445419312
Learned,Learned Basis,-0.16,8,0.9941704273223877
Learned,Learned Basis,-0.16,9,0.9966426491737366
Learned,Learned Basis,-0.16,10,0.9952754378318787
Learned,Learned Basis,-0.16,11,0.9947647452354431
Learned,Learned Basis,-0.16,12,0.9940047860145569
Learned,Learned Basis,-0.16,13,0.9946471452713013
Learned,Learned Basis,-0.16,14,0.9930403232574463
Learned,Learned Basis,-0.16,15,0.9943220019340515
Learned,Learned Basis,-0.16,16,0.9933291673660278
Learned,Learned Basis,-0.16,17,0.9954125285148621
Learned,Learned Basis,-0.16,18,0.9922773838043213
Learned,Learned Basis,-0.16,19,0.991326630115509
Learned,Learned Basis,-0.16,20,0.9900848269462585
Learned,Learned Basis,-0.16,21,0.9878325462341309
Learned,Learned Basis,-0.16,22,0.9815457463264465
Learned,Learned Basis,-0.16,23,0.9812732934951782
Learned,Learned Basis,-0.16,24,0.9866212606430054
Learned,Learned Basis,-0.16,25,0.9910833835601807
Learned,Learned Basis,-0.16,26,0.990780770778656
Learned,Learned Basis,-0.16,27,0.9922999143600464
Learned,Learned Basis,-0.16,28,0.9930425882339478
Learned,Learned Basis,-0.16,29,0.9944581389427185
Learned,Learned Basis,-0.16,30,0.9941451549530029
Learned,Learned Basis,-0.16,31,0.9946506023406982
Learned,Learned Basis,-0.16,32,0.9936375021934509
Learned,Learned Basis,-0.16,33,0.9934707283973694
Learned,Learned Basis,-0.16,34,0.9938052296638489
Learned,Learned Basis,-0.16,35,0.9942658543586731
Learned,Learned Basis,-0.16,36,0.9951661229133606
Learned,Learned Basis,-0.16,37,0.9936121702194214
Learned,Learned Basis,-0.16,38,0.9965307116508484
Learned,Learned Basis,-0.16,39,0.9947768449783325
Learned,Learned Basis,-0.16,40,0.9944868683815002
Learned,Learned Basis,-0.16,41,0.9952042102813721
Learned,Learned Basis,-0.16,42,0.994024395942688
Learned,Learned Basis,-0.16,43,0.9958906173706055
Learned,Learned Basis,-0.16,44,0.9955620765686035
Learned,Learned Basis,-0.15000000000000002,0,0.9963054060935974
Learned,Learned Basis,-0.15000000000000002,1,0.9954506754875183
Learned,Learned Basis,-0.15000000000000002,2,0.9966180324554443
Learned,Learned Basis,-0.15000000000000002,3,0.9956957101821899
Learned,Learned Basis,-0.15000000000000002,4,0.9952690601348877
Learned,Learned Basis,-0.15000000000000002,5,0.9949496388435364
Learned,Learned Basis,-0.15000000000000002,6,0.9958775043487549
Learned,Learned Basis,-0.15000000000000002,7,0.9954864382743835
Learned,Learned Basis,-0.15000000000000002,8,0.9942749738693237
Learned,Learned Basis,-0.15000000000000002,9,0.996756374835968
Learned,Learned Basis,-0.15000000000000002,10,0.9954056143760681
Learned,Learned Basis,-0.15000000000000002,11,0.9948906898498535
Learned,Learned Basis,-0.15000000000000002,12,0.9941467046737671
Learned,Learned Basis,-0.15000000000000002,13,0.9948094487190247
Learned,Learned Basis,-0.15000000000000002,14,0.993241548538208
Learned,Learned Basis,-0.15000000000000002,15,0.9945508241653442
Learned,Learned Basis,-0.15000000000000002,16,0.9936023950576782
Learned,Learned Basis,-0.15000000000000002,17,0.9957246780395508
Learned,Learned Basis,-0.15000000000000002,18,0.9926376342773438
Learned,Learned Basis,-0.15000000000000002,19,0.9917795658111572
Learned,Learned Basis,-0.15000000000000002,20,0.9907127022743225
Learned,Learned Basis,-0.15000000000000002,21,0.9887769222259521
Learned,Learned Basis,-0.15000000000000002,22,0.983210563659668
Learned,Learned Basis,-0.15000000000000002,23,0.9829214811325073
Learned,Learned Basis,-0.15000000000000002,24,0.987549364566803
Learned,Learned Basis,-0.15000000000000002,25,0.9916969537734985
