method,method_label,frequency,psd,psd_db
OFDM,Classical OFDM,-0.5,6.908860547224066e-15,-107.12714384525256
OFDM,Classical OFDM,-0.499755859375,1.6700932087687385e-08,-43.29380101200908
OFDM,Classical OFDM,-0.49951171875,6.667833277168431e-08,-37.281360790542
OFDM,Classical OFDM,-0.499267578125,1.4948954435164884e-07,-33.77509993074422
OFDM,Classical OFDM,-0.4990234375,2.643765560408441e-07,-31.298978703720593
OFDM,Classical OFDM,-0.498779296875,4.1027255184828494e-07,-29.390483485591027
OFDM,Classical OFDM,-0.49853515625,5.858127141100251e-07,-27.843620181236666
OFDM,Classical OFDM,-0.498291015625,7.893462101288452e-07,-26.54853283085457
OFDM,Classical OFDM,-0.498046875,1.0189526380766068e-06,-25.439668131855342
OFDM,Classical OFDM,-0.497802734375,1.272459317703032e-06,-24.474769049941386
OFDM,Classical OFDM,-0.49755859375,1.5474629113097615e-06,-23.625005623257547
OFDM,Classical OFDM,-0.497314453125,1.8413510548418525e-06,-22.869842162865805
OFDM,Classical OFDM,-0.4970703125,2.1513290477003964e-06,-22.194139700282825
OFDM,Classical OFDM,-0.496826171875,2.4744443774224983e-06,-21.586431153937546
OFDM,Classical OFDM,-0.49658203125,2.807616566135868e-06,-21.03783014954807
OFDM,Classical OFDM,-0.496337890625,3.147665539866853e-06,-20.541322317273234
OFDM,Classical OFDM,-0.49609375,3.491343478248591e-06,-20.091282344334616
OFDM,Classical OFDM,-0.495849609375,3.835363467117422e-06,-19.68314284065841
OFDM,Classical OFDM,-0.49560546875,4.17643353358857e-06,-19.313152370662042
OFDM,Classical OFDM,-0.495361328125,4.511286634154926e-06,-18.97820389430853
OFDM,Classical OFDM,-0.4951171875,4.8367130305022e-06,-18.675704904208025
OFDM,Classical OFDM,-0.494873046875,5.149589751500716e-06,-18.40348179418355
OFDM,Classical OFDM,-0.49462890625,5.446912483383334e-06,-18.159704137911856
OFDM,Classical OFDM,-0.494384765625,5.7258231701278675e-06,-17.942828795941452
OFDM,Classical OFDM,-0.494140625,5.983637775718577e-06,-17.751555159357647
OFDM,Classical OFDM,-0.493896484375,6.217872103858759e-06,-17.58479026480455
OFDM,Classical OFDM,-0.49365234375,6.426266808287947e-06,-17.44162058425363
OFDM,Classical OFDM,-0.493408203125,6.606808437061764e-06,-17.32129096506164
OFDM,Classical OFDM,-0.4931640625,6.757748696161938e-06,-17.223187738159528
OFDM,Classical OFDM,-0.492919921875,6.877622741831861e-06,-17.14682461436645
OFDM,Classical OFDM,-0.49267578125,6.965261321507277e-06,-17.09183396372065
OFDM,Classical OFDM,-0.492431640625,7.019805828570322e-06,-17.057957117374944
OFDM,Classical OFDM,-0.4921875,7.040712996842726e-06,-17.0450416985095
OFDM,Classical OFDM,-0.491943359375,7.027763642055902e-06,-17.05303664360655
OFDM,Classical OFDM,-0.49169921875,6.981061852455567e-06,-17.08199325337369
OFDM,Classical OFDM,-0.491455078125,6.901038388262335e-06,-17.13206367971742
OFDM,Classical OFDM,-0.4912109375,6.788443720871456e-06,-17.203505893610846
OFDM,Classical OFDM,-0.490966796875,6.6443428527223955e-06,-17.296687769697826
