method,method_label,eps,ref_real,ref_imag,est_real,est_imag
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,0.92069143,0.3484915
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.4337182,-0.8550222
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.9698341,-0.38923395
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.9281436,-0.29304546
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.34777638,-1.0749307
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,0.8154203,-0.22331151
OFDM,Classical OFDM,0.0,0.31622776,0.94868326,0.2803215,0.99684274
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.17115337,0.84216297
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,0.9740435,-1.0621033
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.23636477,-0.37908378
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.23401049,-0.99412006
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.32105747,-0.26986182
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,0.9152849,0.34029615
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,0.94889265,0.12257805
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.2526264,0.37960324
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.3588475,0.41915306
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.36748865,-0.8971814
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,0.9007371,-0.89532214
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,1.0248156,-0.9870697
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.28188545,0.20402662
OFDM,Classical OFDM,0.0,0.31622776,0.94868326,0.17132969,0.95720667
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,1.0066943,0.98257154
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.9605571,-0.41166204
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.21802446,-0.38059652
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.23719405,-0.9291202
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.9023491,-0.3390562
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.26989147,0.3706863
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.3587265,0.3108131
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.3176071,0.10849515
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,0.9238581,-0.9908531
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.26083213,-0.9019659
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.2380184,0.8672651
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,0.97646594,-0.3691229
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,0.9646977,0.9149306
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-0.9479243,0.9022591
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-0.8990554,1.0617591
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.30141956,0.8845761
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-1.0464768,-0.29943776
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.5311767,-0.26944864
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.32186687,0.9123396
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.26302904,-1.0302343
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.29587972,-0.3699352
OFDM,Classical OFDM,0.0,0.31622776,0.94868326,0.28828955,0.99478835
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.3137562,0.24590221
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.24030447,-0.44485795
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.29143488,-0.9894008
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,0.7046326,-0.8200071
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-0.9441596,-0.98446375
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.3290222,0.9656473
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.33127406,0.96453995
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,0.84167683,-0.89123565
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.30403036,-1.0392436
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.2963391,0.94010824
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,0.90411675,0.36317438
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,1.0121267,-0.9781326
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.95581853,-0.3892864
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.30832878,-0.15271854
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.26066318,-0.19965918
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,0.93106985,-0.9531711
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.3113218,-0.7910597
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-1.0111771,0.26502183
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.3180908,0.37203667
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.32308266,-1.0271379
