method,method_label,eps,stream,diag_magnitude
Learned,Learned Basis,-0.1,0,0.9827407002449036
Learned,Learned Basis,-0.1,1,0.9856500029563904
Learned,Learned Basis,-0.1,2,0.9788311123847961
Learned,Learned Basis,-0.1,3,0.9820483922958374
Learned,Learned Basis,-0.1,4,0.9837652444839478
Learned,Learned Basis,-0.1,5,0.9843164086341858
Learned,Learned Basis,-0.1,6,0.9855953454971313
Learned,Learned Basis,-0.1,7,0.9833518266677856
Learned,Learned Basis,-0.1,8,0.9821168780326843
Learned,Learned Basis,-0.1,9,0.9857253432273865
Learned,Learned Basis,-0.1,10,0.9838600754737854
Learned,Learned Basis,-0.1,11,0.9853330254554749
Learned,Learned Basis,-0.1,12,0.9874232411384583
Learned,Learned Basis,-0.1,13,0.98427814245224
Learned,Learned Basis,-0.1,14,0.9818217158317566
Learned,Learned Basis,-0.1,15,0.9797592759132385
Learned,Learned Basis,-0.1,16,0.9854866862297058
Learned,Learned Basis,-0.1,17,0.9806452989578247
Learned,Learned Basis,-0.1,18,0.9822829961776733
Learned,Learned Basis,-0.1,19,0.98380446434021
Learned,Learned Basis,-0.1,20,0.9860820174217224
Learned,Learned Basis,-0.1,21,0.9800330996513367
Learned,Learned Basis,-0.1,22,0.9784619212150574
Learned,Learned Basis,-0.1,23,0.9816759824752808
Learned,Learned Basis,-0.1,24,0.9808952212333679
Learned,Learned Basis,-0.1,25,0.9820706248283386
Learned,Learned Basis,-0.1,26,0.9806675314903259
Learned,Learned Basis,-0.1,27,0.9852206110954285
Learned,Learned Basis,-0.1,28,0.979706346988678
Learned,Learned Basis,-0.1,29,0.9828755259513855
Learned,Learned Basis,-0.1,30,0.9839134812355042
Learned,Learned Basis,-0.1,31,0.9837769269943237
Learned,Learned Basis,-0.1,32,0.9843590259552002
Learned,Learned Basis,-0.1,33,0.9832934737205505
Learned,Learned Basis,-0.1,34,0.9813318252563477
Learned,Learned Basis,-0.1,35,0.9833219647407532
Learned,Learned Basis,-0.1,36,0.9841135740280151
Learned,Learned Basis,-0.1,37,0.9830518960952759
Learned,Learned Basis,-0.1,38,0.9857823848724365
Learned,Learned Basis,-0.1,39,0.9888843894004822
Learned,Learned Basis,-0.1,40,0.9820994138717651
Learned,Learned Basis,-0.1,41,0.9837790131568909
Learned,Learned Basis,-0.1,42,0.9833829998970032
Learned,Learned Basis,-0.1,43,0.9806634187698364
Learned,Learned Basis,-0.1,44,0.9813970327377319
Learned,Learned Basis,-0.08,0,0.9828502535820007
Learned,Learned Basis,-0.08,1,0.9857324957847595
Learned,Learned Basis,-0.08,2,0.9789267182350159
Learned,Learned Basis,-0.08,3,0.9821426868438721
Learned,Learned Basis,-0.08,4,0.9838808178901672
Learned,Learned Basis,-0.08,5,0.9843981266021729
Learned,Learned Basis,-0.08,6,0.9857087731361389
Learned,Learned Basis,-0.08,7,0.9834575653076172
Learned,Learned Basis,-0.08,8,0.9822322130203247
Learned,Learned Basis,-0.08,9,0.9858614802360535
Learned,Learned Basis,-0.08,10,0.9840132594108582
Learned,Learned Basis,-0.08,11,0.9855078458786011
Learned,Learned Basis,-0.08,12,0.9875675439834595
Learned,Learned Basis,-0.08,13,0.9844778180122375
Learned,Learned Basis,-0.08,14,0.9820429682731628
Learned,Learned Basis,-0.08,15,0.9800258874893188
Learned,Learned Basis,-0.08,16,0.9857694506645203
Learned,Learned Basis,-0.08,17,0.9810047745704651
Learned,Learned Basis,-0.08,18,0.9827411770820618
Learned,Learned Basis,-0.08,19,0.984326183795929
Learned,Learned Basis,-0.08,20,0.9867709875106812
Learned,Learned Basis,-0.08,21,0.9812746047973633
Learned,Learned Basis,-0.08,22,0.9805123805999756
Learned,Learned Basis,-0.08,23,0.9836754202842712
Learned,Learned Basis,-0.08,24,0.9821047186851501
Learned,Learned Basis,-0.08,25,0.9828823208808899
Learned,Learned Basis,-0.08,26,0.9812207221984863
Learned,Learned Basis,-0.08,27,0.9856576323509216
Learned,Learned Basis,-0.08,28,0.9800416231155396
Learned,Learned Basis,-0.08,29,0.9831929802894592
Learned,Learned Basis,-0.08,30,0.9841528534889221
Learned,Learned Basis,-0.08,31,0.9840237498283386
Learned,Learned Basis,-0.08,32,0.9845385551452637
Learned,Learned Basis,-0.08,33,0.9834654331207275
Learned,Learned Basis,-0.08,34,0.9814760684967041
Learned,Learned Basis,-0.08,35,0.983478844165802
Learned,Learned Basis,-0.08,36,0.984231173992157
Learned,Learned Basis,-0.08,37,0.9831637144088745
Learned,Learned Basis,-0.08,38,0.9859012961387634
Learned,Learned Basis,-0.08,39,0.9889899492263794
Learned,Learned Basis,-0.08,40,0.9821920990943909
Learned,Learned Basis,-0.08,41,0.9838655591011047
Learned,Learned Basis,-0.08,42,0.9834800362586975
Learned,Learned Basis,-0.08,43,0.980750560760498
Learned,Learned Basis,-0.08,44,0.9815114140510559
Learned,Learned Basis,-0.060000000000000005,0,0.9829386472702026
Learned,Learned Basis,-0.060000000000000005,1,0.9857925772666931
Learned,Learned Basis,-0.060000000000000005,2,0.9790006279945374
Learned,Learned Basis,-0.060000000000000005,3,0.9822148680686951
Learned,Learned Basis,-0.060000000000000005,4,0.9839745759963989
Learned,Learned Basis,-0.060000000000000005,5,0.984455406665802
Learned,Learned Basis,-0.060000000000000005,6,0.9857980012893677
Learned,Learned Basis,-0.060000000000000005,7,0.9835382103919983
Learned,Learned Basis,-0.060000000000000005,8,0.9823203682899475
Learned,Learned Basis,-0.060000000000000005,9,0.985969066619873
Learned,Learned Basis,-0.060000000000000005,10,0.9841358661651611
Learned,Learned Basis,-0.060000000000000005,11,0.985648512840271
Learned,Learned Basis,-0.060000000000000005,12,0.9876784086227417
Learned,Learned Basis,-0.060000000000000005,13,0.9846381545066833
Learned,Learned Basis,-0.060000000000000005,14,0.9822172522544861
Learned,Learned Basis,-0.060000000000000005,15,0.9802393317222595
Learned,Learned Basis,-0.060000000000000005,16,0.9859886765480042
Learned,Learned Basis,-0.060000000000000005,17,0.981289267539978
Learned,Learned Basis,-0.060000000000000005,18,0.9831021428108215
Learned,Learned Basis,-0.060000000000000005,19,0.9847344160079956
Learned,Learned Basis,-0.060000000000000005,20,0.9872974157333374
Learned,Learned Basis,-0.060000000000000005,21,0.9822656512260437
Learned,Learned Basis,-0.060000000000000005,22,0.9821343421936035
Learned,Learned Basis,-0.060000000000000005,23,0.9852418899536133
Learned,Learned Basis,-0.060000000000000005,24,0.9830604195594788
Learned,Learned Basis,-0.060000000000000005,25,0.98353511095047
Learned,Learned Basis,-0.060000000000000005,26,0.9816516637802124
Learned,Learned Basis,-0.060000000000000005,27,0.985993504524231
Learned,Learned Basis,-0.060000000000000005,28,0.9803012609481812
Learned,Learned Basis,-0.060000000000000005,29,0.9834482073783875
Learned,Learned Basis,-0.060000000000000005,30,0.9843348860740662
Learned,Learned Basis,-0.060000000000000005,31,0.9842228293418884
Learned,Learned Basis,-0.060000000000000005,32,0.9846804738044739
Learned,Learned Basis,-0.060000000000000005,33,0.9836010336875916
Learned,Learned Basis,-0.060000000000000005,34,0.9815880060195923
Learned,Learned Basis,-0.060000000000000005,35,0.9836055636405945
Learned,Learned Basis,-0.060000000000000005,36,0.9843199253082275
Learned,Learned Basis,-0.060000000000000005,37,0.9832488298416138
Learned,Learned Basis,-0.060000000000000005,38,0.9859948754310608
Learned,Learned Basis,-0.060000000000000005,39,0.9890696406364441
Learned,Learned Basis,-0.060000000000000005,40,0.9822602272033691
Learned,Learned Basis,-0.060000000000000005,41,0.9839293956756592
Learned,Learned Basis,-0.060000000000000005,42,0.9835560917854309
Learned,Learned Basis,-0.060000000000000005,43,0.9808161854743958
Learned,Learned Basis,-0.060000000000000005,44,0.9816038608551025
Learned,Learned Basis,-0.04000000000000001,0,0.9830054640769958
Learned,Learned Basis,-0.04000000000000001,1,0.9858309030532837
Learned,Learned Basis,-0.04000000000000001,2,0.9790529608726501
Learned,Learned Basis,-0.04000000000000001,3,0.9822642803192139
Learned,Learned Basis,-0.04000000000000001,4,0.9840468168258667
Learned,Learned Basis,-0.04000000000000001,5,0.984488844871521
Learned,Learned Basis,-0.04000000000000001,6,0.9858630299568176
Learned,Learned Basis,-0.04000000000000001,7,0.9835947155952454
Learned,Learned Basis,-0.04000000000000001,8,0.9823815226554871
Learned,Learned Basis,-0.04000000000000001,9,0.9860483407974243
Learned,Learned Basis,-0.04000000000000001,10,0.9842274785041809
Learned,Learned Basis,-0.04000000000000001,11,0.9857555031776428
Learned,Learned Basis,-0.04000000000000001,12,0.987755298614502
Learned,Learned Basis,-0.04000000000000001,13,0.984758734703064
Learned,Learned Basis,-0.04000000000000001,14,0.9823426008224487
Learned,Learned Basis,-0.04000000000000001,15,0.9803981184959412
Learned,Learned Basis,-0.04000000000000001,16,0.9861433506011963
Learned,Learned Basis,-0.04000000000000001,17,0.9814959764480591
Learned,Learned Basis,-0.04000000000000001,18,0.9833629727363586
Learned,Learned Basis,-0.04000000000000001,19,0.9850242137908936
Learned,Learned Basis,-0.04000000000000001,20,0.9876564145088196
Learned,Learned Basis,-0.04000000000000001,21,0.9829955697059631
Learned,Learned Basis,-0.04000000000000001,22,0.9833081960678101
Learned,Learned Basis,-0.04000000000000001,23,0.9863572120666504
