method,method_label,modulation,N,M,K,R,train_ebn0_db,eval_ebn0_db,eps,offdiag_leakage,nearest_neighbor_leakage,residual_far_leakage,diag_mean_magnitude,diag_std_magnitude,diag_min_magnitude,diag_max_magnitude,clean_identity_loss,receiver_fro_norm_sq
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.1,0.030623111873865128,0.01955009624361992,0.011073015630245209,0.9836354851722717,1.2628434831185587e-07,0.983635425567627,0.9836357235908508,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.08,0.01967358961701393,0.0125172333791852,0.0071563562378287315,0.9895082116127014,9.814174006805843e-08,0.9895079731941223,0.989508330821991,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.060000000000000005,0.011099055409431458,0.007043079938739538,0.004055975470691919,0.9940902590751648,1.1203982097640619e-07,0.9940900206565857,0.9940903186798096,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.04000000000000001,0.004943343345075846,0.0031309041660279036,0.0018124391790479422,0.9973710179328918,1.8953068092741887e-07,0.997370719909668,0.9973710775375366,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.020000000000000004,0.0012372448109090328,0.0007828200468793511,0.0004544247640296817,0.9993425011634827,1.4761428701604018e-07,0.9993422627449036,0.9993425011634827,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.0,0.0,1.2562809950308895e-12,0.0,1.0,2.8097899118506575e-08,0.9999998807907104,1.0000001192092896,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.01999999999999999,0.0012372448109090328,0.0007828204543329775,0.0004544243565760553,0.9993425011634827,1.7947498065495893e-07,0.9993422031402588,0.9993424415588379,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.04000000000000001,0.004943259060382843,0.0031309041660279036,0.0018123548943549395,0.9973710179328918,2.0397604316713114e-07,0.9973706603050232,0.9973710775375366,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.06,0.011098970659077168,0.007043079938739538,0.004055890720337629,0.99409019947052,9.733398087519163e-08,0.9940899014472961,0.9940903782844543,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.07999999999999999,0.019673505797982216,0.012517236173152924,0.007156269624829292,0.9895083904266357,2.531930931581883e-07,0.9895079731941223,0.9895082712173462,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.1,0.030623193830251694,0.01955009251832962,0.011073101311922073,0.9836355447769165,9.361282593545184e-08,0.9836354851722717,0.9836357235908508,2.7579010256073566e-11,45.0
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.1,0.0019199508242309093,9.844522719504312e-05,0.0018215056043118238,0.98310387134552,0.00221648090519011,0.9784619212150574,0.9888843894004822,0.0016871124971657991,43.64590072631836
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.08,0.001749454066157341,8.280718611786142e-05,0.0016666469164192677,0.9834492802619934,0.002078024437651038,0.9789267182350159,0.9889899492263794,0.0016871124971657991,43.64590072631836
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.060000000000000005,0.0016169223235920072,7.184681453509256e-05,0.001545075559988618,0.9837208390235901,0.0020313996355980635,0.9790006279945374,0.9890696406364441,0.0016871124971657991,43.64590072631836
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.04000000000000001,0.0015231437282636762,6.568083335878327e-05,0.0014574629021808505,0.9839158058166504,0.0020340047776699066,0.9790529608726501,0.989123523235321,0.0016871124971657991,43.64590072631836
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.020000000000000004,0.0014683181652799249,6.437750562326983e-05,0.0014039406087249517,0.9840326905250549,0.00204862910322845,0.9790835976600647,0.9891517758369446,0.0016871124971657991,43.64590072631836
