method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.2,0.26493055555555556,0.8079861111111111,0.6944912821054459,3052,11520,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.2,0.23706597222222223,0.6513888888888889,0.7053453475236893,2731,11520,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.2,0.23967013888888888,0.6541666666666667,0.7056018561124802,2761,11520,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.1,0.11180555555555556,0.4298611111111111,0.37597428262233734,1288,11520,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.1,0.10451388888888889,0.3885416666666666,0.3813973069190979,1204,11520,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.1,0.10590277777777778,0.3940972222222222,0.38160715252161026,1220,11520,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.0,8.680555555555556e-05,0.00034722222222222224,0.1260369699448347,1,11520,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.0,0.0006944444444444445,0.002777777777777778,0.13246718421578407,8,11520,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.0,0.0006944444444444445,0.0027777777777777775,0.13249024376273155,8,11520,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.09999999999999998,0.10442708333333334,0.40069444444444446,0.37136759608983994,1203,11520,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.09999999999999998,0.10147569444444444,0.3704861111111111,0.378563292324543,1169,11520,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.09999999999999998,0.10217013888888889,0.3753472222222222,0.3785943165421486,1177,11520,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.2,0.2720486111111111,0.8260416666666667,0.7061057686805725,3134,11520,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.2,0.23967013888888888,0.6510416666666667,0.7120426446199417,2761,11520,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.2,0.24105902777777777,0.6548611111111111,0.7122156769037247,2777,11520,,,,,Learned + Nonlinear RX
