method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label,snr_sweep_cfo,snr_sweep_ebn0_db
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.0,0.14184027777777777,0.48506944444444444,0.5021211802959442,1634,11520,,,,,Classical OFDM,0.0,0.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.0,0.1423611111111111,0.48263888888888895,0.5006255507469177,1640,11520,,,,,Learned Basis,0.0,0.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.0,0.1421875,0.48159722222222223,0.5009899288415909,1638,11520,,,,,Learned + Nonlinear RX,0.0,0.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.0,0.09487847222222222,0.3423611111111111,0.3898164704442024,1093,11520,,,,,Classical OFDM,0.0,2.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.0,0.09791666666666667,0.35451388888888885,0.3963843509554863,1128,11520,,,,,Learned Basis,0.0,2.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.0,0.09678819444444445,0.35104166666666664,0.39672163128852844,1115,11520,,,,,Learned + Nonlinear RX,0.0,2.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.0,0.05668402777777778,0.21284722222222224,0.3154725730419159,653,11520,,,,,Classical OFDM,0.0,4.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.0,0.06432291666666666,0.23784722222222224,0.31769154220819473,741,11520,,,,,Learned Basis,0.0,4.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.0,0.06545138888888889,0.2420138888888889,0.317940890789032,754,11520,,,,,Learned + Nonlinear RX,0.0,4.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.05,0.15416666666666667,0.5190972222222222,0.5293905138969421,1776,11520,,,,,Classical OFDM,0.05,0.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.05,0.15720486111111112,0.5253472222222222,0.5370350331068039,1811,11520,,,,,Learned Basis,0.05,0.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.05,0.15651041666666668,0.5222222222222223,0.5373225510120392,1803,11520,,,,,Learned + Nonlinear RX,0.05,0.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.05,0.11779513888888889,0.41805555555555557,0.43112221360206604,1357,11520,,,,,Classical OFDM,0.05,2.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.05,0.11380208333333333,0.4121527777777778,0.4253767803311348,1311,11520,,,,,Learned Basis,0.05,2.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.05,0.115625,0.415625,0.42558471858501434,1332,11520,,,,,Learned + Nonlinear RX,0.05,2.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.05,0.08081597222222223,0.303125,0.3531677946448326,931,11520,,,,,Classical OFDM,0.05,4.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.05,0.09019097222222222,0.3368055555555556,0.36007529497146606,1039,11520,,,,,Learned Basis,0.05,4.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.05,0.09192708333333334,0.33993055555555557,0.3602321222424507,1059,11520,,,,,Learned + Nonlinear RX,0.05,4.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.1,0.19609375,0.6291666666666667,0.611192062497139,2259,11520,,,,,Classical OFDM,0.1,0.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.1,0.20121527777777778,0.6472222222222223,0.6170590370893478,2318,11520,,,,,Learned Basis,0.1,0.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,0.0,0.1,0.20034722222222223,0.6430555555555555,0.617421567440033,2308,11520,,,,,Learned + Nonlinear RX,0.1,0.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.1,0.16675347222222223,0.5694444444444444,0.5273775905370712,1921,11520,,,,,Classical OFDM,0.1,2.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.1,0.1685763888888889,0.56875,0.5412121415138245,1942,11520,,,,,Learned Basis,0.1,2.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,2.0,0.1,0.17083333333333334,0.5777777777777777,0.5414159595966339,1968,11520,,,,,Learned + Nonlinear RX,0.1,2.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.1,0.14487847222222222,0.5263888888888889,0.46636779606342316,1669,11520,,,,,Classical OFDM,0.1,4.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.1,0.14618055555555556,0.5170138888888889,0.47447386384010315,1684,11520,,,,,Learned Basis,0.1,4.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.1,0.14852430555555557,0.5246527777777779,0.4746375158429146,1711,11520,,,,,Learned + Nonlinear RX,0.1,4.0
