method,method_label,eps,ref_real,ref_imag,est_real,est_imag
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,0.9828031,-0.92484975
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,0.80996346,0.9458018
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.14021342,-0.39129978
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,0.78140306,0.8333844
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,0.81926656,-0.3484204
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,1.0951607,0.30559745
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.14406237,0.97113645
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.28461814,1.0480902
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-1.031265,0.29500738
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.37585476,0.3288597
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.24651384,0.93820626
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,0.897301,0.96394193
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.3200075,-0.28756273
OFDM,Classical OFDM,0.0,0.31622776,0.94868326,0.2718629,1.0625482
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-0.8354739,-1.1613184
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.40311462,0.22071336
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,0.9507377,-0.21275952
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,0.76378626,1.1835966
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,1.0610092,-0.84474313
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.47092918,-0.24974003
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.2573982,-1.0530524
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,0.9847582,0.20105885
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.22903174,-0.24787866
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.25623894,-0.8130419
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,0.8750651,-0.3229103
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-0.9499014,1.0231564
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,0.9058979,1.0080302
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.8897836,-0.39595982
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-0.8714917,-0.9852231
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.96567714,-0.35049686
OFDM,Classical OFDM,0.0,0.31622776,0.94868326,0.44739887,1.0272838
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.28330937,-0.86314553
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,1.0735283,-0.8572538
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.540506,0.37369978
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.31614727,0.9454659
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.39246726,-0.15231636
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,1.1427759,0.990511
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.37139413,-1.0402007
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,0.90865487,-1.1098721
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.33385235,0.0435012
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.30636945,-0.2721935
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.29927015,0.9821812
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,0.95100325,-0.37520036
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.21184802,0.98063564
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.30354324,-0.9945514
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.18752818,0.9093574
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.3232415,-0.34922308
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.4193899,0.17983308
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.29123044,-0.9455482
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,1.0441816,-0.8838351
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.42248327,-0.8536269
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-1.0224323,0.9002403
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.24607778,0.28114986
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.28059268,0.4135216
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.9814842,-0.46724677
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.4070814,-0.894706
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.3293431,1.032623
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.31710422,-0.86625016
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,1.0898962,0.9691188
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,1.1077735,-0.23172237
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.37838623,-0.9789452
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,0.8907912,1.0800835
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,0.94949615,-0.30991557
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-0.8370124,0.28528592
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-0.9842421,0.35908505
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.40226805,0.073842525
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.26763517,-0.8725857
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.39192742,-0.93840176
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.36991674,-0.9616183
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,0.94685155,-0.8075921
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-0.85591114,0.3614651
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.37241185,-0.2890251
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.31284067,-0.8656036
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,1.0772684,0.90008634
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,0.8287528,-1.063082
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,0.9411227,0.24698794
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,1.0648601,-0.19036126
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.54308367,0.32386526
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-1.0114028,-0.82097507
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.40976572,0.30852103
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,1.0801396,0.92080766
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,1.1391902,0.97419685
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,1.0138973,0.33374006
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,0.91379976,0.9570101
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-0.87754124,0.33811772
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,0.8990817,0.3904419
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-0.8365027,0.27968293
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.9451136,-0.34309366
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.42012072,1.0957854
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.33759084,-0.4383431
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.41437882,-0.8890037
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,0.96056527,-0.35602492
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.25083846,-0.39995623
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.40529877,-0.93404824
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-0.98308164,0.8658875
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,0.79419005,-1.0352693
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.44448146,1.0354089
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-1.1476517,-1.1245198
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,1.0538807,0.8906029
OFDM,Classical OFDM,0.0,0.31622776,0.94868326,0.28147966,0.8185053
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.30674338,-0.92350054
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,0.8324539,-0.75343007
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.37830883,0.3824592
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.2704473,0.4277985
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,0.93664825,-0.16341648
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.2565947,0.3291378
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-0.82622766,0.2363196
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-0.8896386,-0.9548549
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-0.9023044,-0.9991547
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.21146291,0.81585664
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.85540646,-0.19105059
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.2988075,0.85606736
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-1.1100187,-0.92537975
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.8691366,-0.45393917
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,0.90137553,-1.0310019
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.38284725,0.24575762
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.36438215,0.33394617
