method,method_label,eps,stream,diag_magnitude
Learned,Learned Basis,-0.2,0,0.9959083795547485
Learned,Learned Basis,-0.2,1,0.9949657320976257
Learned,Learned Basis,-0.2,2,0.9961460828781128
Learned,Learned Basis,-0.2,3,0.9952066540718079
Learned,Learned Basis,-0.2,4,0.9947414398193359
Learned,Learned Basis,-0.2,5,0.9944426417350769
Learned,Learned Basis,-0.2,6,0.9953522682189941
Learned,Learned Basis,-0.2,7,0.994879961013794
Learned,Learned Basis,-0.2,8,0.993689775466919
Learned,Learned Basis,-0.2,9,0.9961250424385071
Learned,Learned Basis,-0.2,10,0.9946820735931396
Learned,Learned Basis,-0.2,11,0.9941896200180054
Learned,Learned Basis,-0.2,12,0.9933573603630066
Learned,Learned Basis,-0.2,13,0.9939142465591431
Learned,Learned Basis,-0.2,14,0.9921371936798096
Learned,Learned Basis,-0.2,15,0.9932956695556641
Learned,Learned Basis,-0.2,16,0.9921073317527771
Learned,Learned Basis,-0.2,17,0.9940136671066284
Learned,Learned Basis,-0.2,18,0.9906501770019531
Learned,Learned Basis,-0.2,19,0.9893025755882263
Learned,Learned Basis,-0.2,20,0.9872877597808838
Learned,Learned Basis,-0.2,21,0.9836358428001404
Learned,Learned Basis,-0.2,22,0.9741544127464294
Learned,Learned Basis,-0.2,23,0.973950982093811
Learned,Learned Basis,-0.2,24,0.9825007915496826
Learned,Learned Basis,-0.2,25,0.9883302450180054
Learned,Learned Basis,-0.2,26,0.9887281060218811
Learned,Learned Basis,-0.2,27,0.9906652569770813
Learned,Learned Basis,-0.2,28,0.9916190505027771
Learned,Learned Basis,-0.2,29,0.9933207035064697
Learned,Learned Basis,-0.2,30,0.9931108355522156
Learned,Learned Basis,-0.2,31,0.993823230266571
Learned,Learned Basis,-0.2,32,0.9929259419441223
Learned,Learned Basis,-0.2,33,0.9928309321403503
Learned,Learned Basis,-0.2,34,0.9932810664176941
Learned,Learned Basis,-0.2,35,0.9937117695808411
Learned,Learned Basis,-0.2,36,0.9946304559707642
Learned,Learned Basis,-0.2,37,0.9931198954582214
Learned,Learned Basis,-0.2,38,0.9960206747055054
Learned,Learned Basis,-0.2,39,0.9943343997001648
Learned,Learned Basis,-0.2,40,0.9940482974052429
Learned,Learned Basis,-0.2,41,0.9948369264602661
Learned,Learned Basis,-0.2,42,0.993621289730072
Learned,Learned Basis,-0.2,43,0.9955057501792908
Learned,Learned Basis,-0.2,44,0.9951880574226379
Learned,Learned Basis,-0.1,0,0.996574878692627
Learned,Learned Basis,-0.1,1,0.9958069920539856
Learned,Learned Basis,-0.1,2,0.9969502687454224
Learned,Learned Basis,-0.1,3,0.9960485696792603
Learned,Learned Basis,-0.1,4,0.9956594705581665
Learned,Learned Basis,-0.1,5,0.9953197836875916
Learned,Learned Basis,-0.1,6,0.9962600469589233
Learned,Learned Basis,-0.1,7,0.9959418177604675
Learned,Learned Basis,-0.1,8,0.9946998953819275
Learned,Learned Basis,-0.1,9,0.9972259402275085
Learned,Learned Basis,-0.1,10,0.9959428310394287
Learned,Learned Basis,-0.1,11,0.9954059720039368
Learned,Learned Basis,-0.1,12,0.9947259426116943
Learned,Learned Basis,-0.1,13,0.9954850673675537
Learned,Learned Basis,-0.1,14,0.9940876364707947
Learned,Learned Basis,-0.1,15,0.9955070614814758
Learned,Learned Basis,-0.1,16,0.994750440120697
Learned,Learned Basis,-0.1,17,0.997033953666687
Learned,Learned Basis,-0.1,18,0.9941192269325256
Learned,Learned Basis,-0.1,19,0.9936691522598267
Learned,Learned Basis,-0.1,20,0.9933415651321411
Learned,Learned Basis,-0.1,21,0.9927396774291992
Learned,Learned Basis,-0.1,22,0.9901878237724304
Learned,Learned Basis,-0.1,23,0.9898207187652588
Learned,Learned Basis,-0.1,24,0.9914504289627075
Learned,Learned Basis,-0.1,25,0.9942375421524048
Learned,Learned Basis,-0.1,26,0.9931650161743164
Learned,Learned Basis,-0.1,27,0.9941795468330383
Learned,Learned Basis,-0.1,28,0.9946943521499634
Learned,Learned Basis,-0.1,29,0.9957688450813293
Learned,Learned Basis,-0.1,30,0.9953312277793884
Learned,Learned Basis,-0.1,31,0.9955798983573914
Learned,Learned Basis,-0.1,32,0.9944441318511963
Learned,Learned Basis,-0.1,33,0.9941847324371338
Learned,Learned Basis,-0.1,34,0.9943584203720093
Learned,Learned Basis,-0.1,35,0.9948897957801819
Learned,Learned Basis,-0.1,36,0.9957697987556458
Learned,Learned Basis,-0.1,37,0.9941688179969788
Learned,Learned Basis,-0.1,38,0.9971034526824951
Learned,Learned Basis,-0.1,39,0.9952623248100281
Learned,Learned Basis,-0.1,40,0.9949770569801331
Learned,Learned Basis,-0.1,41,0.9955959916114807
Learned,Learned Basis,-0.1,42,0.9944704174995422
Learned,Learned Basis,-0.1,43,0.9963119626045227
Learned,Learned Basis,-0.1,44,0.995964527130127
Learned,Learned Basis,0.0,0,0.9967196583747864
Learned,Learned Basis,0.0,1,0.9961193799972534
Learned,Learned Basis,0.0,2,0.9971839189529419
Learned,Learned Basis,0.0,3,0.9963330030441284
Learned,Learned Basis,0.0,4,0.9960107207298279
Learned,Learned Basis,0.0,5,0.9956312775611877
Learned,Learned Basis,0.0,6,0.9965783357620239
Learned,Learned Basis,0.0,7,0.9963729977607727
Learned,Learned Basis,0.0,8,0.9950401186943054
Learned,Learned Basis,0.0,9,0.9976476430892944
Learned,Learned Basis,0.0,10,0.996415913105011
Learned,Learned Basis,0.0,11,0.9958323836326599
Learned,Learned Basis,0.0,12,0.995195209980011
Learned,Learned Basis,0.0,13,0.9960954785346985
Learned,Learned Basis,0.0,14,0.9948856234550476
Learned,Learned Basis,0.0,15,0.9963780641555786
Learned,Learned Basis,0.0,16,0.9958084225654602
Learned,Learned Basis,0.0,17,0.998205304145813
Learned,Learned Basis,0.0,18,0.9952746033668518
Learned,Learned Basis,0.0,19,0.9952713251113892
Learned,Learned Basis,0.0,20,0.9955973625183105
Learned,Learned Basis,0.0,21,0.9961118102073669
Learned,Learned Basis,0.0,22,0.996021032333374
Learned,Learned Basis,0.0,23,0.9955536127090454
Learned,Learned Basis,0.0,24,0.9948031902313232
Learned,Learned Basis,0.0,25,0.996238112449646
Learned,Learned Basis,0.0,26,0.9948205947875977
Learned,Learned Basis,0.0,27,0.9954429268836975
Learned,Learned Basis,0.0,28,0.995900571346283
Learned,Learned Basis,0.0,29,0.9966999888420105
Learned,Learned Basis,0.0,30,0.9961782693862915
Learned,Learned Basis,0.0,31,0.9961791038513184
Learned,Learned Basis,0.0,32,0.9950147271156311
Learned,Learned Basis,0.0,33,0.9946560859680176
Learned,Learned Basis,0.0,34,0.9946134090423584
Learned,Learned Basis,0.0,35,0.9953298568725586
Learned,Learned Basis,0.0,36,0.99620521068573
Learned,Learned Basis,0.0,37,0.9945843815803528
Learned,Learned Basis,0.0,38,0.9975129961967468
Learned,Learned Basis,0.0,39,0.995572030544281
Learned,Learned Basis,0.0,40,0.9953255653381348
Learned,Learned Basis,0.0,41,0.9958094954490662
Learned,Learned Basis,0.0,42,0.9947730302810669
Learned,Learned Basis,0.0,43,0.9965837597846985
Learned,Learned Basis,0.0,44,0.9962002038955688
Learned,Learned Basis,0.09999999999999998,0,0.9963347911834717
Learned,Learned Basis,0.09999999999999998,1,0.9958895444869995
Learned,Learned Basis,0.09999999999999998,2,0.9968361258506775
Learned,Learned Basis,0.09999999999999998,3,0.9960492849349976
Learned,Learned Basis,0.09999999999999998,4,0.995777428150177
Learned,Learned Basis,0.09999999999999998,5,0.9953609704971313
Learned,Learned Basis,0.09999999999999998,6,0.9962880611419678
Learned,Learned Basis,0.09999999999999998,7,0.9961487650871277
Learned,Learned Basis,0.09999999999999998,8,0.9946861863136292
Learned,Learned Basis,0.09999999999999998,9,0.9973586201667786
Learned,Learned Basis,0.09999999999999998,10,0.9960649609565735
Learned,Learned Basis,0.09999999999999998,11,0.9954251050949097
Learned,Learned Basis,0.09999999999999998,12,0.994712769985199
Learned,Learned Basis,0.09999999999999998,13,0.9956610202789307
Learned,Learned Basis,0.09999999999999998,14,0.9944089651107788
Learned,Learned Basis,0.09999999999999998,15,0.9957623481750488
Learned,Learned Basis,0.09999999999999998,16,0.9950864911079407
Learned,Learned Basis,0.09999999999999998,17,0.9972867369651794
Learned,Learned Basis,0.09999999999999998,18,0.9938715100288391
Learned,Learned Basis,0.09999999999999998,19,0.9937215447425842
Learned,Learned Basis,0.09999999999999998,20,0.9934935569763184
Learned,Learned Basis,0.09999999999999998,21,0.9928150177001953
Learned,Learned Basis,0.09999999999999998,22,0.989951491355896
Learned,Learned Basis,0.09999999999999998,23,0.9894946217536926
Learned,Learned Basis,0.09999999999999998,24,0.9916244149208069
Learned,Learned Basis,0.09999999999999998,25,0.993813693523407
Learned,Learned Basis,0.09999999999999998,26,0.9932852983474731
Learned,Learned Basis,0.09999999999999998,27,0.9941571950912476
Learned,Learned Basis,0.09999999999999998,28,0.9950112104415894
Learned,Learned Basis,0.09999999999999998,29,0.9959359765052795
Learned,Learned Basis,0.09999999999999998,30,0.995517373085022
Learned,Learned Basis,0.09999999999999998,31,0.9955185651779175
Learned,Learned Basis,0.09999999999999998,32,0.9945716261863708
Learned,Learned Basis,0.09999999999999998,33,0.9941948652267456
Learned,Learned Basis,0.09999999999999998,34,0.9940170049667358
Learned,Learned Basis,0.09999999999999998,35,0.9949894547462463
Learned,Learned Basis,0.09999999999999998,36,0.9959032535552979
Learned,Learned Basis,0.09999999999999998,37,0.9943451285362244
Learned,Learned Basis,0.09999999999999998,38,0.9972190856933594
Learned,Learned Basis,0.09999999999999998,39,0.9952434301376343
Learned,Learned Basis,0.09999999999999998,40,0.9950735569000244
Learned,Learned Basis,0.09999999999999998,41,0.9954677224159241
Learned,Learned Basis,0.09999999999999998,42,0.994515061378479
Learned,Learned Basis,0.09999999999999998,43,0.9963076114654541
Learned,Learned Basis,0.09999999999999998,44,0.995888352394104
Learned,Learned Basis,0.2,0,0.9954320788383484
Learned,Learned Basis,0.2,1,0.9951256513595581
Learned,Learned Basis,0.2,2,0.9959208369255066
Learned,Learned Basis,0.2,3,0.9952141046524048
Learned,Learned Basis,0.2,4,0.9949702620506287
Learned,Learned Basis,0.2,5,0.9945247173309326
Learned,Learned Basis,0.2,6,0.9954078197479248
Learned,Learned Basis,0.2,7,0.9952902793884277
Learned,Learned Basis,0.2,8,0.9936662316322327
Learned,Learned Basis,0.2,9,0.9963852167129517
Learned,Learned Basis,0.2,10,0.9949314594268799
Learned,Learned Basis,0.2,11,0.9942258596420288
Learned,Learned Basis,0.2,12,0.9933337569236755
Learned,Learned Basis,0.2,13,0.9942303895950317
Learned,Learned Basis,0.2,14,0.9927292466163635
Learned,Learned Basis,0.2,15,0.9937601089477539
Learned,Learned Basis,0.2,16,0.9927193522453308
Learned,Learned Basis,0.2,17,0.994455099105835
Learned,Learned Basis,0.2,18,0.9902262687683105
Learned,Learned Basis,0.2,19,0.9893807172775269
Learned,Learned Basis,0.2,20,0.9875805974006653
Learned,Learned Basis,0.2,21,0.9837607741355896
Learned,Learned Basis,0.2,22,0.9737210273742676
Learned,Learned Basis,0.2,23,0.973388671875
Learned,Learned Basis,0.2,24,0.9827858805656433
Learned,Learned Basis,0.2,25,0.9875879287719727
Learned,Learned Basis,0.2,26,0.9889059066772461
Learned,Learned Basis,0.2,27,0.9905804395675659
Learned,Learned Basis,0.2,28,0.9922168254852295
Learned,Learned Basis,0.2,29,0.9936091303825378
Learned,Learned Basis,0.2,30,0.9934645295143127
Learned,Learned Basis,0.2,31,0.9936910271644592
Learned,Learned Basis,0.2,32,0.9931795001029968
Learned,Learned Basis,0.2,33,0.9928586483001709
Learned,Learned Basis,0.2,34,0.9926279187202454
Learned,Learned Basis,0.2,35,0.9939004182815552
Learned,Learned Basis,0.2,36,0.994893491268158
Learned,Learned Basis,0.2,37,0.9934772253036499
Learned,Learned Basis,0.2,38,0.9962405562400818
Learned,Learned Basis,0.2,39,0.9942958354949951
Learned,Learned Basis,0.2,40,0.9942353963851929
Learned,Learned Basis,0.2,41,0.9945870041847229
Learned,Learned Basis,0.2,42,0.9937076568603516
Learned,Learned Basis,0.2,43,0.9954943656921387
Learned,Learned Basis,0.2,44,0.9950453639030457
