method,method_label,modulation,N,M,K,R,train_ebn0_db,eval_ebn0_db,eps,offdiag_leakage,nearest_neighbor_leakage,residual_far_leakage,diag_mean_magnitude,diag_std_magnitude,diag_min_magnitude,diag_max_magnitude,clean_identity_loss,receiver_fro_norm_sq
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.2,0.11862627416849136,0.07785318791866302,0.04077308624982834,0.9355043768882751,9.528461220043027e-08,0.9355041980743408,0.9355044960975647,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,-0.1,0.030623111873865128,0.01955009624361992,0.011073015630245209,0.9836354851722717,1.2628434831185587e-07,0.983635425567627,0.9836357235908508,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.0,0.0,1.2562809950308895e-12,0.0,1.0,2.8097899118506575e-08,0.9999998807907104,1.0000001192092896,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.09999999999999998,0.030623193830251694,0.01955009251832962,0.011073101311922073,0.9836355447769165,9.361282593545184e-08,0.9836354851722717,0.9836357235908508,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.2,0.11862611770629883,0.07785318791866302,0.0407729297876358,0.9355043768882751,8.973749032747946e-08,0.9355041980743408,0.9355044364929199,2.7579010256073566e-11,45.0
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.2,0.004030198790132999,0.0003019099240191281,0.0037282889243215322,0.992095410823822,0.004873153753578663,0.973950982093811,0.9961460828781128,0.0021679711062461138,44.690834045410156
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.1,0.002632438438013196,0.00013832628610543907,0.0024941121228039265,0.9948713779449463,0.0015719907823950052,0.9898207187652588,0.9972259402275085,0.0021679711062461138,44.690834045410156
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,0.0,0.0021429164335131645,9.187818795908242e-05,0.0020510382018983364,0.9958828687667847,0.0008171130320988595,0.9945843815803528,0.998205304145813,0.0021679711062461138,44.690834045410156
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,0.09999999999999998,0.0026143279392272234,0.00017447862774133682,0.0024398493114858866,0.9949130415916443,0.001623982796445489,0.9894946217536926,0.9973586201667786,0.0021679711062461138,44.690834045410156
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,0.2,0.003987370524555445,0.00036505170282907784,0.0036223188508301973,0.9921725988388062,0.004974566400051117,0.973388671875,0.9963852167129517,0.0021679711062461138,44.690834045410156
