method,method_label,papr_db
OFDM,Classical OFDM,5.205645
OFDM,Classical OFDM,6.347508
OFDM,Classical OFDM,5.6516914
OFDM,Classical OFDM,8.049991
OFDM,Classical OFDM,5.0434785
OFDM,Classical OFDM,7.420987
OFDM,Classical OFDM,6.631589
OFDM,Classical OFDM,5.992458
OFDM,Classical OFDM,5.612401
OFDM,Classical OFDM,8.210765
OFDM,Classical OFDM,6.7581186
OFDM,Classical OFDM,5.5643444
OFDM,Classical OFDM,7.1150093
OFDM,Classical OFDM,7.5495825
OFDM,Classical OFDM,5.089443
OFDM,Classical OFDM,5.543198
Learned,Learned Basis,5.895216
Learned,Learned Basis,4.5217934
Learned,Learned Basis,5.571708
Learned,Learned Basis,4.6071415
Learned,Learned Basis,5.04322
Learned,Learned Basis,6.278531
Learned,Learned Basis,5.05062
Learned,Learned Basis,3.8395488
Learned,Learned Basis,6.0866714
Learned,Learned Basis,4.552459
Learned,Learned Basis,5.1784062
Learned,Learned Basis,4.9664645
Learned,Learned Basis,5.4314113
Learned,Learned Basis,4.151456
Learned,Learned Basis,5.484025
Learned,Learned Basis,4.927463
LearnedNonlinear,Learned + Nonlinear RX,5.895223
LearnedNonlinear,Learned + Nonlinear RX,4.5217767
LearnedNonlinear,Learned + Nonlinear RX,5.5717206
LearnedNonlinear,Learned + Nonlinear RX,4.607124
LearnedNonlinear,Learned + Nonlinear RX,5.0432262
LearnedNonlinear,Learned + Nonlinear RX,6.2785172
LearnedNonlinear,Learned + Nonlinear RX,5.0505853
LearnedNonlinear,Learned + Nonlinear RX,3.839569
LearnedNonlinear,Learned + Nonlinear RX,6.0866923
LearnedNonlinear,Learned + Nonlinear RX,4.5524116
LearnedNonlinear,Learned + Nonlinear RX,5.178376
LearnedNonlinear,Learned + Nonlinear RX,4.966425
LearnedNonlinear,Learned + Nonlinear RX,5.4314194
LearnedNonlinear,Learned + Nonlinear RX,4.151457
LearnedNonlinear,Learned + Nonlinear RX,5.484038
LearnedNonlinear,Learned + Nonlinear RX,4.927434
OFDM,Classical OFDM,7.0492077
OFDM,Classical OFDM,5.975586
OFDM,Classical OFDM,5.403974
OFDM,Classical OFDM,5.2889915
OFDM,Classical OFDM,5.5277367
OFDM,Classical OFDM,7.117121
OFDM,Classical OFDM,7.6964526
OFDM,Classical OFDM,7.30731
OFDM,Classical OFDM,6.5304093
OFDM,Classical OFDM,7.077219
OFDM,Classical OFDM,5.9392505
OFDM,Classical OFDM,5.094225
OFDM,Classical OFDM,7.5783625
OFDM,Classical OFDM,8.049653
OFDM,Classical OFDM,6.4469795
OFDM,Classical OFDM,6.388961
Learned,Learned Basis,5.619655
Learned,Learned Basis,4.7452044
Learned,Learned Basis,4.9764595
Learned,Learned Basis,6.3785563
Learned,Learned Basis,5.399024
Learned,Learned Basis,5.1383405
Learned,Learned Basis,4.5523443
Learned,Learned Basis,3.9036322
Learned,Learned Basis,6.1160607
Learned,Learned Basis,5.7811155
Learned,Learned Basis,4.866085
Learned,Learned Basis,5.8643675
Learned,Learned Basis,5.484337
Learned,Learned Basis,5.557082
Learned,Learned Basis,4.359815
Learned,Learned Basis,4.76731
LearnedNonlinear,Learned + Nonlinear RX,5.619641
