method,method_label,frequency,psd,psd_db
OFDM,Classical OFDM,-0.5,6.79428354808784e-15,-108.23248806469067
OFDM,Classical OFDM,-0.499755859375,1.3407008177299505e-08,-45.28060599668744
OFDM,Classical OFDM,-0.49951171875,5.3531883958709144e-08,-39.267799460686014
OFDM,Classical OFDM,-0.499267578125,1.20028806913027e-07,-35.761069847062046
OFDM,Classical OFDM,-0.4990234375,2.1229838266969916e-07,-33.284457882979694
OFDM,Classical OFDM,-0.498779296875,3.29493696314344e-07,-31.375453636019472
OFDM,Classical OFDM,-0.49853515625,4.7052705447334665e-07,-29.828078742911657
OFDM,Classical OFDM,-0.498291015625,6.340814234322323e-07,-28.532474440097403
OFDM,Classical OFDM,-0.498046875,8.18622131220241e-07,-27.423089924391313
OFDM,Classical OFDM,-0.497802734375,1.0224116647298863e-06,-26.457666782135934
OFDM,Classical OFDM,-0.49755859375,1.243525567738205e-06,-25.607377548468378
OFDM,Classical OFDM,-0.497314453125,1.479870926046984e-06,-24.851686359406273
OFDM,Classical OFDM,-0.4970703125,1.7292070644345672e-06,-24.175454728220384
OFDM,Classical OFDM,-0.496826171875,1.98916582326338e-06,-23.56721485117913
OFDM,Classical OFDM,-0.49658203125,2.2572744572351198e-06,-23.01808106699577
OFDM,Classical OFDM,-0.496337890625,2.5309803956706275e-06,-22.521036927000186
OFDM,Classical OFDM,-0.49609375,2.8076722597240028e-06,-22.070460628225916
OFDM,Classical OFDM,-0.495849609375,3.084707725203607e-06,-21.661784528429934
OFDM,Classical OFDM,-0.49560546875,3.3594426664423066e-06,-21.29125240286751
OFDM,Classical OFDM,-0.495361328125,3.629243646527575e-06,-20.95576348725992
OFDM,Classical OFDM,-0.4951171875,3.891528630647699e-06,-20.65272243960888
OFDM,Classical OFDM,-0.494873046875,4.143783479600763e-06,-20.379954193018477
OFDM,Classical OFDM,-0.49462890625,4.383584288090795e-06,-20.135631122992255
OFDM,Classical OFDM,-0.494384765625,4.608628290040716e-06,-19.918207925197077
OFDM,Classical OFDM,-0.494140625,4.816746909281491e-06,-19.72638646553343
OFDM,Classical OFDM,-0.493896484375,5.005936424668343e-06,-19.55907144164287
OFDM,Classical OFDM,-0.49365234375,5.1743705403764335e-06,-19.41534948304184
OFDM,Classical OFDM,-0.493408203125,5.320417760131204e-06,-19.294467394244347
OFDM,Classical OFDM,-0.4931640625,5.442663485307786e-06,-19.195809908033212
OFDM,Classical OFDM,-0.492919921875,5.539917701226455e-06,-19.118891608634517
OFDM,Classical OFDM,-0.49267578125,5.6112317108583415e-06,-19.063342710560196
OFDM,Classical OFDM,-0.492431640625,5.655899015546787e-06,-19.02890827282111
OFDM,Classical OFDM,-0.4921875,5.673475971926364e-06,-19.01543254040442
OFDM,Classical OFDM,-0.491943359375,5.663772984709338e-06,-19.022866362932845
OFDM,Classical OFDM,-0.49169921875,5.626863794292669e-06,-19.05126071330078
OFDM,Classical OFDM,-0.491455078125,5.563086117282636e-06,-19.100766910100454
OFDM,Classical OFDM,-0.4912109375,5.473033479805914e-06,-19.17164369106912
OFDM,Classical OFDM,-0.490966796875,5.357553536132453e-06,-19.264259544505954
OFDM,Classical OFDM,-0.49072265625,5.217741503298113e-06,-19.379099144030455
OFDM,Classical OFDM,-0.490478515625,5.054923907792411e-06,-19.516778514331246
OFDM,Classical OFDM,-0.490234375,4.870656023460042e-06,-19.67805014122473
OFDM,Classical OFDM,-0.489990234375,4.6666972913685535e-06,-19.863828429578632
OFDM,Classical OFDM,-0.48974609375,4.445000831217687e-06,-20.07520627417326
OFDM,Classical OFDM,-0.489501953125,4.207694545863063e-06,-20.313482688988735
OFDM,Classical OFDM,-0.4892578125,3.957054059150954e-06,-20.580204905319643
OFDM,Classical OFDM,-0.489013671875,3.6954961505409286e-06,-20.877197197102852
OFDM,Classical OFDM,-0.48876953125,3.4255368007431864e-06,-21.206638364052726
OFDM,Classical OFDM,-0.488525390625,3.1497832652263815e-06,-21.571118026725344
OFDM,Classical OFDM,-0.48828125,2.8709002865438785e-06,-21.973743652981952
OFDM,Classical OFDM,-0.488037109375,2.59158651502115e-06,-22.41826762451808
OFDM,Classical OFDM,-0.48779296875,2.3145534515088733e-06,-22.909252592534347
OFDM,Classical OFDM,-0.487548828125,2.042488457086081e-06,-23.45232863096191
OFDM,Classical OFDM,-0.4873046875,1.7780400610266753e-06,-24.05450932101999
OFDM,Classical OFDM,-0.487060546875,1.5237885767324508e-06,-24.72467760429419
OFDM,Classical OFDM,-0.48681640625,1.2822193398137858e-06,-25.474301508424013
OFDM,Classical OFDM,-0.486572265625,1.0557001095803666e-06,-26.318519073027943
OFDM,Classical OFDM,-0.486328125,8.464595714336059e-07,-27.27786253751336
OFDM,Classical OFDM,-0.486083984375,6.56562626627757e-07,-28.381163160907498
OFDM,Classical OFDM,-0.48583984375,4.878937386297767e-07,-29.6706722929456
OFDM,Classical OFDM,-0.485595703125,3.4213636627408077e-07,-31.211932353766
OFDM,Classical OFDM,-0.4853515625,2.2075593481501065e-07,-33.11480085932966
OFDM,Classical OFDM,-0.485107421875,1.2498874184023834e-07,-35.58521577543663
OFDM,Classical OFDM,-0.48486328125,5.582530112857846e-08,-39.08561399548941
OFDM,Classical OFDM,-0.484619140625,1.4003479841515252e-08,-45.09156503388812
OFDM,Classical OFDM,-0.484375,5.787969501885704e-15,-108.92866239879247
OFDM,Classical OFDM,-0.484130859375,1.4025386846914939e-08,-45.08477625173494
OFDM,Classical OFDM,-0.48388671875,5.602141425473826e-08,-39.07038405592209
OFDM,Classical OFDM,-0.483642578125,1.2566127767970193e-07,-35.56191002780873
OFDM,Classical OFDM,-0.4833984375,2.223527526862765e-07,-33.08349963632655
OFDM,Classical OFDM,-0.483154296875,3.4524179977469946e-07,-31.172691019791667
OFDM,Classical OFDM,-0.48291015625,4.932220627856294e-07,-29.62349978738763
OFDM,Classical OFDM,-0.482666015625,6.649446018719218e-07,-28.326070092405665
OFDM,Classical OFDM,-0.482421875,8.588296631385347e-07,-27.214854378059915
OFDM,Classical OFDM,-0.482177734375,1.0730813856883126e-06,-26.247598125348098
OFDM,Classical OFDM,-0.48193359375,1.3057052759342952e-06,-25.39547314976457
OFDM,Classical OFDM,-0.481689453125,1.5545269529530711e-06,-24.637942175368845
OFDM,Classical OFDM,-0.4814453125,1.8172134259120224e-06,-23.95986537133735
OFDM,Classical OFDM,-0.481201171875,2.091290948693127e-06,-23.34978016144622
OFDM,Classical OFDM,-0.48095703125,2.3741758851731206e-06,-22.798795844528378
OFDM,Classical OFDM,-0.480712890625,2.6631912027324783e-06,-22.299901263823866
OFDM,Classical OFDM,-0.48046875,2.955598778715975e-06,-21.84746995505094
OFDM,Classical OFDM,-0.480224609375,3.2486194968926593e-06,-21.436936274971558
OFDM,Classical OFDM,-0.47998046875,3.5394688366050917e-06,-21.064543810183118
OFDM,Classical OFDM,-0.479736328125,3.825367161196066e-06,-20.72719348583499
OFDM,Classical OFDM,-0.4794921875,4.103589518797871e-06,-20.4222856204678
OFDM,Classical OFDM,-0.479248046875,4.371471246922719e-06,-20.147648477477254
OFDM,Classical OFDM,-0.47900390625,4.626441439874184e-06,-19.901454045695623
OFDM,Classical OFDM,-0.478759765625,4.866050811568197e-06,-19.682158343917177
OFDM,Classical OFDM,-0.478515625,5.087993313238999e-06,-19.48845942056216
OFDM,Classical OFDM,-0.478271484375,5.290127030554892e-06,-19.31926373166981
OFDM,Classical OFDM,-0.47802734375,5.470493399356858e-06,-19.173659755825224
OFDM,Classical OFDM,-0.477783203125,5.627342666512238e-06,-19.0508911242705
OFDM,Classical OFDM,-0.4775390625,5.75914405824308e-06,-18.95034531903319
OFDM,Classical OFDM,-0.477294921875,5.864606917438628e-06,-18.871535656368003
OFDM,Classical OFDM,-0.47705078125,5.942691032114826e-06,-18.814093226010556
OFDM,Classical OFDM,-0.476806640625,5.992615442627857e-06,-18.777760648376418
OFDM,Classical OFDM,-0.4765625,6.013869971117316e-06,-18.762384401685125
OFDM,Classical OFDM,-0.476318359375,6.006217463342381e-06,-18.767914215617864
OFDM,Classical OFDM,-0.47607421875,5.969697631829535e-06,-18.794401394831425
OFDM,Classical OFDM,-0.475830078125,5.904628817315278e-06,-18.841998721835353
OFDM,Classical OFDM,-0.4755859375,5.811607268155926e-06,-18.91096215701751
OFDM,Classical OFDM,-0.475341796875,5.6914940896384635e-06,-19.00166184745845
OFDM,Classical OFDM,-0.47509765625,5.545419087128269e-06,-19.114581010261656
OFDM,Classical OFDM,-0.474853515625,5.374755065018708e-06,-19.25033796295204
OFDM,Classical OFDM,-0.474609375,5.1811272744692875e-06,-19.40968213068254
OFDM,Classical OFDM,-0.474365234375,4.966374261338216e-06,-19.593530294574812
OFDM,Classical OFDM,-0.47412109375,4.732547946247981e-06,-19.80297451367514
OFDM,Classical OFDM,-0.473876953125,4.481887122879165e-06,-20.039315593835376
OFDM,Classical OFDM,-0.4736328125,4.216799923608954e-06,-20.304094785976076
OFDM,Classical OFDM,-0.473388671875,3.939834355378586e-06,-20.599145110090973
OFDM,Classical OFDM,-0.47314453125,3.653665489200933e-06,-20.92663690866815
OFDM,Classical OFDM,-0.472900390625,3.3610576692078826e-06,-21.289165097554452
OFDM,Classical OFDM,-0.47265625,3.064848259338083e-06,-21.689834964734693
OFDM,Classical OFDM,-0.472412109375,2.7679147764173446e-06,-22.132397597928648
OFDM,Classical OFDM,-0.47216796875,2.4731509105181507e-06,-22.621418563197594
OFDM,Classical OFDM,-0.471923828125,2.1834312961055193e-06,-23.16252942983709
OFDM,Classical OFDM,-0.4716796875,1.9015986214790078e-06,-23.762736200486238
OFDM,Classical OFDM,-0.471435546875,1.6304216343772708e-06,-24.430925444995477
OFDM,Classical OFDM,-0.47119140625,1.3725734642229245e-06,-25.17856875457528
OFDM,Classical OFDM,-0.470947265625,1.1306091637280338e-06,-26.020799727876707
OFDM,Classical OFDM,-0.470703125,9.069376459091673e-07,-26.978150446148895
OFDM,Classical OFDM,-0.470458984375,7.037971640042587e-07,-28.079449614516086
OFDM,Classical OFDM,-0.47021484375,5.232356853979015e-07,-29.36695118125851
OFDM,Classical OFDM,-0.469970703125,3.6709030475971045e-07,-30.90619559454581
OFDM,Classical OFDM,-0.4697265625,2.3696824348193945e-07,-32.807023245708294
OFDM,Classical OFDM,-0.469482421875,1.3423152462752124e-07,-35.275379509208214
OFDM,Classical OFDM,-0.46923828125,5.998289765173169e-08,-38.77365032123896
OFDM,Classical OFDM,-0.468994140625,1.5054465337098145e-08,-44.77727137885595
OFDM,Classical OFDM,-0.46875,8.497759891868241e-15,-107.26088018201258
OFDM,Classical OFDM,-0.468505859375,1.5087294413203347e-08,-44.76781108698562
OFDM,Classical OFDM,-0.46826171875,6.029607290745191e-08,-38.75103446542378
OFDM,Classical OFDM,-0.468017578125,1.3531642321206843e-07,-35.240419642755015
OFDM,Classical OFDM,-0.4677734375,2.395522248880076e-07,-32.75992265129286
OFDM,Classical OFDM,-0.467529296875,3.7212463812284833e-07,-30.84704048616871
OFDM,Classical OFDM,-0.46728515625,5.318808962447891e-07,-29.295780820454553
OFDM,Classical OFDM,-0.467041015625,7.174040687190153e-07,-27.99628638511896
OFDM,Classical OFDM,-0.466796875,9.270255188511624e-07,-26.883007845133093
OFDM,Classical OFDM,-0.466552734375,1.1588414073044971e-06,-25.91368469073634
OFDM,Classical OFDM,-0.46630859375,1.4107288953711817e-06,-25.059489120299947
OFDM,Classical OFDM,-0.466064453125,1.6803659411863337e-06,-24.29988603561249
OFDM,Classical OFDM,-0.4658203125,1.9652559999587123e-06,-23.619733430789488
OFDM,Classical OFDM,-0.465576171875,2.2627457785125487e-06,-23.00756710610129
OFDM,Classical OFDM,-0.46533203125,2.5700554400266933e-06,-22.454499821083203
OFDM,Classical OFDM,-0.465087890625,2.8843036645604e-06,-21.953514921958643
OFDM,Classical OFDM,-0.46484375,3.2025319089233374e-06,-21.498990083381774
OFDM,Classical OFDM,-0.464599609375,3.521736072611524e-06,-21.086356681612063
OFDM,Classical OFDM,-0.46435546875,3.8388939202676545e-06,-20.71186362465195
OFDM,Classical OFDM,-0.464111328125,4.150994745977598e-06,-20.37240290255876
OFDM,Classical OFDM,-0.4638671875,4.4550665155011975e-06,-20.06538281366573
OFDM,Classical OFDM,-0.463623046875,4.748207492175423e-06,-19.7886278498165
OFDM,Classical OFDM,-0.46337890625,5.02760769448916e-06,-19.540310917100836
OFDM,Classical OFDM,-0.463134765625,5.290588208281812e-06,-19.318885143006217
OFDM,Classical OFDM,-0.462890625,5.5346128763176255e-06,-19.123052247941878
OFDM,Classical OFDM,-0.462646484375,5.7573236872709844e-06,-18.951718269650083
OFDM,Classical OFDM,-0.46240234375,5.956559991465036e-06,-18.803969538005248
OFDM,Classical OFDM,-0.462158203125,6.1303785172660815e-06,-18.679051832871725
OFDM,Classical OFDM,-0.4619140625,6.277077070494549e-06,-18.576350129482677
OFDM,Classical OFDM,-0.461669921875,6.3952067844583645e-06,-18.495378822922948
OFDM,Classical OFDM,-0.46142578125,6.483588933724241e-06,-18.435770016090217
