method,method_label,eps,ref_real,ref_imag,est_real,est_imag
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-0.8677856,1.0090977
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.42798093,-0.96437144
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.3264937,0.50825983
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,0.99715114,0.37034002
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-0.82503784,0.2754741
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.42062196,-0.27848515
OFDM,Classical OFDM,0.0,0.31622776,0.94868326,0.14786446,0.9815778
OFDM,Classical OFDM,0.0,0.31622776,0.94868326,0.24200746,0.8606654
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.43184516,-0.9470847
OFDM,Classical OFDM,0.0,0.31622776,0.94868326,0.28999528,0.8306832
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.9335712,-0.40374774
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.3889831,-0.096460864
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.24096972,0.45809165
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-1.0009034,0.26790124
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,0.90798455,0.26917112
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,1.0179173,0.22430088
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.2675302,0.37216318
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.13905632,0.8852046
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,0.9561819,0.9544086
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.264193,-0.31718037
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.3999639,0.45312363
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.22265786,0.34917516
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.23777324,-1.0751956
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.49150926,-0.8120581
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-0.9945823,0.38072017
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.2756803,-0.8827548
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-0.9799821,1.1443247
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.1328708,0.90519106
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.9002703,-0.43410042
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,0.9489718,-1.1398467
