method,method_label,papr_db
OFDM,Classical OFDM,7.466426
OFDM,Classical OFDM,9.867649
OFDM,Classical OFDM,6.648782
OFDM,Classical OFDM,6.3976007
OFDM,Classical OFDM,5.4867525
OFDM,Classical OFDM,5.615817
OFDM,Classical OFDM,7.313161
OFDM,Classical OFDM,7.894047
OFDM,Classical OFDM,6.2442226
OFDM,Classical OFDM,6.3405633
OFDM,Classical OFDM,6.087854
OFDM,Classical OFDM,6.609887
OFDM,Classical OFDM,8.022021
OFDM,Classical OFDM,5.868747
OFDM,Classical OFDM,6.6406674
OFDM,Classical OFDM,7.5551796
OFDM,Classical OFDM,4.9454565
OFDM,Classical OFDM,5.857861
OFDM,Classical OFDM,6.316518
OFDM,Classical OFDM,5.813426
OFDM,Classical OFDM,5.6066422
OFDM,Classical OFDM,6.427554
OFDM,Classical OFDM,8.371192
OFDM,Classical OFDM,5.14834
OFDM,Classical OFDM,5.3571105
OFDM,Classical OFDM,6.479846
OFDM,Classical OFDM,5.9554057
OFDM,Classical OFDM,7.02792
OFDM,Classical OFDM,6.748314
OFDM,Classical OFDM,7.8239346
OFDM,Classical OFDM,5.3355265
OFDM,Classical OFDM,6.138001
OFDM,Classical OFDM,8.197035
OFDM,Classical OFDM,5.0720186
OFDM,Classical OFDM,7.698887
OFDM,Classical OFDM,6.450468
OFDM,Classical OFDM,6.267164
OFDM,Classical OFDM,8.791777
OFDM,Classical OFDM,5.989706
OFDM,Classical OFDM,7.215023
OFDM,Classical OFDM,5.290317
OFDM,Classical OFDM,5.411829
OFDM,Classical OFDM,5.2945065
OFDM,Classical OFDM,6.495364
OFDM,Classical OFDM,7.3850923
OFDM,Classical OFDM,7.7256126
OFDM,Classical OFDM,6.062004
OFDM,Classical OFDM,7.442997
OFDM,Classical OFDM,5.9829865
OFDM,Classical OFDM,7.7292347
OFDM,Classical OFDM,5.857654
OFDM,Classical OFDM,6.157804
OFDM,Classical OFDM,6.522613
OFDM,Classical OFDM,4.9240856
OFDM,Classical OFDM,6.537859
OFDM,Classical OFDM,5.95398
OFDM,Classical OFDM,6.828816
OFDM,Classical OFDM,6.6992707
OFDM,Classical OFDM,6.571086
OFDM,Classical OFDM,7.939074
OFDM,Classical OFDM,7.877317
OFDM,Classical OFDM,6.4386897
OFDM,Classical OFDM,7.856421
OFDM,Classical OFDM,8.044811
OFDM,Classical OFDM,6.475461
OFDM,Classical OFDM,6.1823215
OFDM,Classical OFDM,6.0663695
OFDM,Classical OFDM,6.5531445
OFDM,Classical OFDM,5.824053
OFDM,Classical OFDM,8.259454
OFDM,Classical OFDM,6.2833576
OFDM,Classical OFDM,6.5429587
OFDM,Classical OFDM,8.598546
OFDM,Classical OFDM,5.8147306
OFDM,Classical OFDM,6.221929
OFDM,Classical OFDM,6.4137697
OFDM,Classical OFDM,6.740231
OFDM,Classical OFDM,5.375368
OFDM,Classical OFDM,6.0139523
OFDM,Classical OFDM,7.120583
OFDM,Classical OFDM,6.9154396
OFDM,Classical OFDM,6.4926863
OFDM,Classical OFDM,6.4440403
OFDM,Classical OFDM,8.079956
OFDM,Classical OFDM,6.495537
OFDM,Classical OFDM,6.762048
OFDM,Classical OFDM,8.275986
OFDM,Classical OFDM,8.452495
OFDM,Classical OFDM,6.580559
OFDM,Classical OFDM,6.532118
OFDM,Classical OFDM,6.386713
OFDM,Classical OFDM,6.645108
OFDM,Classical OFDM,9.100228
OFDM,Classical OFDM,6.47357
