method,method_label,frequency,psd,psd_db
OFDM,Classical OFDM,-0.5,6.984453879851214e-15,-107.67231453294016
OFDM,Classical OFDM,-0.499755859375,1.7004616464533117e-08,-43.80797066271204
OFDM,Classical OFDM,-0.49951171875,6.787318509173525e-08,-37.79665677381584
OFDM,Classical OFDM,-0.499267578125,1.5213205477341704e-07,-34.29143176121019
OFDM,Classical OFDM,-0.4990234375,2.689870332283861e-07,-31.816325622966275
OFDM,Classical OFDM,-0.498779296875,4.173303559084401e-07,-29.908839315206777
OFDM,Classical OFDM,-0.49853515625,5.95751720423417e-07,-28.36298602047417
OFDM,Classical OFDM,-0.498291015625,8.025521388451322e-07,-27.068906507315926
OFDM,Classical OFDM,-0.498046875,1.0357584792580138e-06,-25.961054098862224
OFDM,Classical OFDM,-0.497802734375,1.2931443815461178e-06,-24.99716890001711
OFDM,Classical OFDM,-0.49755859375,1.5722501159897192e-06,-24.14842271791958
OFDM,Classical OFDM,-0.497314453125,1.8704066706235985e-06,-23.394278645421963
OFDM,Classical OFDM,-0.4970703125,2.184760875056529e-06,-22.719599974248936
OFDM,Classical OFDM,-0.496826171875,2.512303177631436e-06,-22.112918595761112
OFDM,Classical OFDM,-0.49658203125,2.849897163840369e-06,-21.56534718094303
OFDM,Classical OFDM,-0.496337890625,3.1943064213988076e-06,-21.069873327055966
OFDM,Classical OFDM,-0.49609375,3.5422300286771463e-06,-20.620871468369618
OFDM,Classical OFDM,-0.495849609375,3.890332073115669e-06,-20.213772335753678
OFDM,Classical OFDM,-0.49560546875,4.235271003805731e-06,-19.844827023190557
OFDM,Classical OFDM,-0.495361328125,4.573738436597086e-06,-19.510925827263886
OFDM,Classical OFDM,-0.4951171875,4.902481044158433e-06,-19.209479841236398
OFDM,Classical OFDM,-0.494873046875,5.2183436727633254e-06,-18.938312295028968
OFDM,Classical OFDM,-0.49462890625,5.5182899056803854e-06,-18.695593946460665
OFDM,Classical OFDM,-0.494384765625,5.7994352299316995e-06,-18.479782047838064
OFDM,Classical OFDM,-0.494140625,6.059075228037458e-06,-18.289575626047466
OFDM,Classical OFDM,-0.493896484375,6.294709789749586e-06,-18.123881949667233
OFDM,Classical OFDM,-0.49365234375,6.504069645458462e-06,-17.981787242035256
OFDM,Classical OFDM,-0.493408203125,6.685134939577619e-06,-17.862537293028154
OFDM,Classical OFDM,-0.4931640625,6.836160437280132e-06,-17.765516606424413
OFDM,Classical OFDM,-0.492919921875,6.955684811190964e-06,-17.690240130071828
OFDM,Classical OFDM,-0.49267578125,7.042549214771674e-06,-17.636340166248644
OFDM,Classical OFDM,-0.492431640625,7.095909885688605e-06,-17.603558156838563
OFDM,Classical OFDM,-0.4921875,7.11524345249423e-06,-17.591741429005836
OFDM,Classical OFDM,-0.491943359375,7.100352241308494e-06,-17.60084013067353
OFDM,Classical OFDM,-0.49169921875,7.051372899175998e-06,-17.630902250647097
OFDM,Classical OFDM,-0.491455078125,6.968760474021969e-06,-17.6820836975999
OFDM,Classical OFDM,-0.4912109375,6.853300354685283e-06,-17.754641414841398
OFDM,Classical OFDM,-0.490966796875,6.706095004215104e-06,-17.848942055123604
OFDM,Classical OFDM,-0.49072265625,6.528548039826854e-06,-17.965473030480993
OFDM,Classical OFDM,-0.490478515625,6.322358926220871e-06,-18.104847597250046
OFDM,Classical OFDM,-0.490234375,6.089502412192197e-06,-18.26782100390033
OFDM,Classical OFDM,-0.489990234375,5.832211283916216e-06,-18.455306584210373
OFDM,Classical OFDM,-0.48974609375,5.552956796561198e-06,-18.66839612669365
OFDM,Classical OFDM,-0.489501953125,5.254419819208488e-06,-18.90839138004853
OFDM,Classical OFDM,-0.4892578125,4.939468944791969e-06,-19.176836479324347
OFDM,Classical OFDM,-0.489013671875,4.611136941699596e-06,-19.475558871287586
OFDM,Classical OFDM,-0.48876953125,4.272583275336403e-06,-19.806733710837992
OFDM,Classical OFDM,-0.488525390625,3.927068901388128e-06,-20.172953860911957
OFDM,Classical OFDM,-0.48828125,3.5779267474062305e-06,-20.57732462426621
OFDM,Classical OFDM,-0.488037109375,3.228525561041241e-06,-21.023596780586963
OFDM,Classical OFDM,-0.48779296875,2.882238069954698e-06,-21.51634056986477
OFDM,Classical OFDM,-0.487548828125,2.5424134534096772e-06,-22.061177292540478
OFDM,Classical OFDM,-0.4873046875,2.212337707994505e-06,-22.665124855376696
OFDM,Classical OFDM,-0.487060546875,1.895210762559464e-06,-23.33706393230183
OFDM,Classical OFDM,-0.48681640625,1.5941061806053381e-06,-24.088466616176266
OFDM,Classical OFDM,-0.486572265625,1.3119500164749352e-06,-24.934466179106096
OFDM,Classical OFDM,-0.486328125,1.051487316927103e-06,-25.895598686514703
OFDM,Classical OFDM,-0.486083984375,8.152577435693066e-07,-27.000689746713604
OFDM,Classical OFDM,-0.48583984375,6.055702002874544e-07,-28.291994115606798
OFDM,Classical OFDM,-0.485595703125,4.244809431853541e-07,-29.8350570960168
OFDM,Classical OFDM,-0.4853515625,2.737735976127785e-07,-31.739723442371886
OFDM,Classical OFDM,-0.485107421875,1.5494222238945775e-07,-34.21194126321638
OFDM,Classical OFDM,-0.48486328125,6.917524465648043e-08,-37.71413203419204
OFDM,Classical OFDM,-0.484619140625,1.73453919513122e-08,-43.72179789253253
OFDM,Classical OFDM,-0.484375,6.547929373479366e-15,-107.9525992080367
OFDM,Classical OFDM,-0.484130859375,1.7356011791882202e-08,-43.719139707096375
OFDM,Classical OFDM,-0.48388671875,6.929724132202073e-08,-37.70647961255917
OFDM,Classical OFDM,-0.483642578125,1.5537529733724552e-07,-34.199819344844045
OFDM,Classical OFDM,-0.4833984375,2.7481379007304986e-07,-31.723253855314372
OFDM,Classical OFDM,-0.483154296875,4.265146873518991e-07,-29.814299162158
OFDM,Classical OFDM,-0.48291015625,6.090697493414188e-07,-28.266968772925757
