method,method_label,papr_db
OFDM,Classical OFDM,7.054044
OFDM,Classical OFDM,5.4142246
OFDM,Classical OFDM,6.030741
OFDM,Classical OFDM,7.1101065
OFDM,Classical OFDM,5.779526
OFDM,Classical OFDM,7.335939
OFDM,Classical OFDM,6.064333
OFDM,Classical OFDM,7.757701
OFDM,Classical OFDM,5.0741386
OFDM,Classical OFDM,8.103272
OFDM,Classical OFDM,7.0141535
OFDM,Classical OFDM,5.406949
OFDM,Classical OFDM,7.1048336
OFDM,Classical OFDM,6.073475
OFDM,Classical OFDM,5.948949
OFDM,Classical OFDM,7.103463
OFDM,Classical OFDM,6.1717024
OFDM,Classical OFDM,5.5986476
OFDM,Classical OFDM,6.2581306
OFDM,Classical OFDM,7.5427427
OFDM,Classical OFDM,9.918608
OFDM,Classical OFDM,5.8257766
OFDM,Classical OFDM,5.550399
OFDM,Classical OFDM,6.3898344
OFDM,Classical OFDM,4.727791
OFDM,Classical OFDM,7.7830467
OFDM,Classical OFDM,8.971347
OFDM,Classical OFDM,6.269108
OFDM,Classical OFDM,5.7478952
OFDM,Classical OFDM,5.4961276
OFDM,Classical OFDM,5.8117857
OFDM,Classical OFDM,5.2044463
OFDM,Classical OFDM,8.482471
OFDM,Classical OFDM,6.1118565
OFDM,Classical OFDM,6.7521996
OFDM,Classical OFDM,6.869274
OFDM,Classical OFDM,6.792079
OFDM,Classical OFDM,7.220419
OFDM,Classical OFDM,7.6150417
OFDM,Classical OFDM,7.4774694
OFDM,Classical OFDM,7.269402
OFDM,Classical OFDM,6.2655582
OFDM,Classical OFDM,7.5711875
OFDM,Classical OFDM,8.224908
OFDM,Classical OFDM,7.8215885
OFDM,Classical OFDM,7.781912
OFDM,Classical OFDM,5.9521337
OFDM,Classical OFDM,7.3582797
OFDM,Classical OFDM,4.9550443
OFDM,Classical OFDM,6.7351537
OFDM,Classical OFDM,5.8363986
OFDM,Classical OFDM,5.9840827
OFDM,Classical OFDM,5.953615
OFDM,Classical OFDM,6.2948775
OFDM,Classical OFDM,5.913997
OFDM,Classical OFDM,6.266388
OFDM,Classical OFDM,6.1868043
OFDM,Classical OFDM,6.6223116
OFDM,Classical OFDM,8.286989
OFDM,Classical OFDM,9.197247
OFDM,Classical OFDM,6.7493253
OFDM,Classical OFDM,6.042817
OFDM,Classical OFDM,6.477006
OFDM,Classical OFDM,6.033997
Learned,Learned Basis,6.7044516
Learned,Learned Basis,5.522023
Learned,Learned Basis,4.6542773
Learned,Learned Basis,5.9025974
Learned,Learned Basis,4.2986364
Learned,Learned Basis,4.525162
Learned,Learned Basis,4.692921
Learned,Learned Basis,4.2223244
Learned,Learned Basis,5.513992
Learned,Learned Basis,5.622191
Learned,Learned Basis,6.686976
Learned,Learned Basis,4.691453
Learned,Learned Basis,4.780115
Learned,Learned Basis,5.2548313
Learned,Learned Basis,5.4636917
Learned,Learned Basis,4.7950687
Learned,Learned Basis,5.195213
Learned,Learned Basis,5.3609805
Learned,Learned Basis,5.370166
Learned,Learned Basis,6.381056
Learned,Learned Basis,5.656159
Learned,Learned Basis,5.064929
Learned,Learned Basis,4.629335
Learned,Learned Basis,5.7988048
Learned,Learned Basis,6.1244535
Learned,Learned Basis,5.7643957
Learned,Learned Basis,5.7484813
Learned,Learned Basis,5.1957645
Learned,Learned Basis,4.5767555
Learned,Learned Basis,6.0444646
Learned,Learned Basis,5.4384727
Learned,Learned Basis,4.750971
Learned,Learned Basis,4.6750064
Learned,Learned Basis,4.675747
Learned,Learned Basis,5.6955485
Learned,Learned Basis,6.224368
Learned,Learned Basis,4.57889
Learned,Learned Basis,4.1958895
Learned,Learned Basis,5.1019197
Learned,Learned Basis,4.3125334
Learned,Learned Basis,4.856559
Learned,Learned Basis,5.446465
Learned,Learned Basis,3.6804082
Learned,Learned Basis,5.2221165
Learned,Learned Basis,5.8099556
Learned,Learned Basis,4.9696574
Learned,Learned Basis,5.1656647
Learned,Learned Basis,6.092315
Learned,Learned Basis,4.7584405
Learned,Learned Basis,5.229088
Learned,Learned Basis,4.119782
Learned,Learned Basis,6.383409
Learned,Learned Basis,5.0046473
Learned,Learned Basis,5.914465
Learned,Learned Basis,6.255421
Learned,Learned Basis,5.952615
Learned,Learned Basis,5.959381
Learned,Learned Basis,5.8600426
Learned,Learned Basis,4.664336
Learned,Learned Basis,6.155725
Learned,Learned Basis,4.352937
Learned,Learned Basis,5.3890524
Learned,Learned Basis,4.9430466
Learned,Learned Basis,4.904847
LearnedNonlinear,Learned + Nonlinear RX,6.704452
LearnedNonlinear,Learned + Nonlinear RX,5.5220146
LearnedNonlinear,Learned + Nonlinear RX,4.65429
LearnedNonlinear,Learned + Nonlinear RX,5.902622
LearnedNonlinear,Learned + Nonlinear RX,4.298635
LearnedNonlinear,Learned + Nonlinear RX,4.5251613
LearnedNonlinear,Learned + Nonlinear RX,4.692932
LearnedNonlinear,Learned + Nonlinear RX,4.222338
LearnedNonlinear,Learned + Nonlinear RX,5.5139894
LearnedNonlinear,Learned + Nonlinear RX,5.6221704
LearnedNonlinear,Learned + Nonlinear RX,6.6869884
LearnedNonlinear,Learned + Nonlinear RX,4.6914296
LearnedNonlinear,Learned + Nonlinear RX,4.7801075
LearnedNonlinear,Learned + Nonlinear RX,5.2548523
