method,method_label,frequency,psd,psd_db
OFDM,Classical OFDM,-0.5,6.3559656321825894e-15,-108.02456027728013
OFDM,Classical OFDM,-0.499755859375,1.5037471652550105e-08,-44.28462746312378
OFDM,Classical OFDM,-0.49951171875,6.003670236380677e-08,-38.27220738231935
OFDM,Classical OFDM,-0.499267578125,1.3459830372686829e-07,-34.76597981230849
OFDM,Classical OFDM,-0.4990234375,2.3803854660819763e-07,-32.289902780342
OFDM,Classical OFDM,-0.498779296875,3.6939609511399945e-07,-30.381452677618483
OFDM,Classical OFDM,-0.49853515625,5.274411524311431e-07,-28.834635563162543
OFDM,Classical OFDM,-0.498291015625,7.106865978080288e-07,-27.539594424083766
OFDM,Classical OFDM,-0.498046875,9.174025779214354e-07,-26.430776117887792
OFDM,Classical OFDM,-0.497802734375,1.1456320693152695e-06,-25.465924057618423
OFDM,Classical OFDM,-0.49755859375,1.3932106741058832e-06,-24.616207748104397
OFDM,Classical OFDM,-0.497314453125,1.6577863549953987e-06,-23.861090072649908
OFDM,Classical OFDM,-0.4970703125,1.9368418710787565e-06,-23.18543402753555
OFDM,Classical OFDM,-0.496826171875,2.2277187714119412e-06,-22.57777203604048
OFDM,Classical OFDM,-0.49658203125,2.5276432700320113e-06,-22.0292178663978
OFDM,Classical OFDM,-0.496337890625,2.8337530920490347e-06,-21.532755609483537
OFDM,Classical OFDM,-0.49609375,3.1431228833608353e-06,-21.082762074606336
OFDM,Classical OFDM,-0.495849609375,3.4527943948045856e-06,-20.67466849984852
OFDM,Classical OFDM,-0.49560546875,3.7598036317087084e-06,-20.30472404922112
OFDM,Classical OFDM,-0.495361328125,4.0612104311245355e-06,-19.969820749747022
OFDM,Classical OFDM,-0.4951171875,4.3541247212289654e-06,-19.667367029815086
OFDM,Classical OFDM,-0.494873046875,4.635735329790862e-06,-19.395189353424843
OFDM,Classical OFDM,-0.49462890625,4.903338954482776e-06,-19.151456520835584
OFDM,Classical OFDM,-0.494384765625,5.154362497534669e-06,-18.934626094834
OFDM,Classical OFDM,-0.494140625,5.386390174824486e-06,-18.743397586882715
OFDM,Classical OFDM,-0.493896484375,5.597187873598342e-06,-18.576676834084534
OFDM,Classical OFDM,-0.49365234375,5.784720955455381e-06,-18.433551537559183
OFDM,Classical OFDM,-0.493408203125,5.9471778857640285e-06,-18.313266391076944
OFDM,Classical OFDM,-0.4931640625,6.0829864991163445e-06,-18.215207153943528
OFDM,Classical OFDM,-0.492919921875,6.190828241715902e-06,-18.138888128457367
OFDM,Classical OFDM,-0.49267578125,6.269653222992252e-06,-18.08394047468648
OFDM,Classical OFDM,-0.492431640625,6.31868588018702e-06,-18.05010802074487
OFDM,Classical OFDM,-0.4921875,6.337442619493442e-06,-18.037235277957166
OFDM,Classical OFDM,-0.491943359375,6.325723561945198e-06,-18.0452735890815
OFDM,Classical OFDM,-0.49169921875,6.283625167351135e-06,-18.07427297484542
OFDM,Classical OFDM,-0.491455078125,6.211535378935757e-06,-18.12438604794758
OFDM,Classical OFDM,-0.4912109375,6.110130224587574e-06,-18.19587101547944
OFDM,Classical OFDM,-0.490966796875,5.980370256262126e-06,-18.289094951333432
OFDM,Classical OFDM,-0.49072265625,5.823486469439423e-06,-18.404544972151676
OFDM,Classical OFDM,-0.490478515625,5.6409743148472156e-06,-18.542834457147194
OFDM,Classical OFDM,-0.490234375,5.4345769474707055e-06,-18.704718257104723
OFDM,Classical OFDM,-0.489990234375,5.20626977032478e-06,-18.89110900016651
OFDM,Classical OFDM,-0.48974609375,4.958239556408144e-06,-19.103100621688935
OFDM,Classical OFDM,-0.489501953125,4.692866888486435e-06,-19.341993321860645
OFDM,Classical OFDM,-0.4892578125,4.412701315836088e-06,-19.60933035774468
OFDM,Classical OFDM,-0.489013671875,4.120439019590615e-06,-19.906940767779528
OFDM,Classical OFDM,-0.48876953125,3.818894004274192e-06,-20.236999635304016
OFDM,Classical OFDM,-0.488525390625,3.5109747111533864e-06,-20.602098666229356
OFDM,Classical OFDM,-0.48828125,3.1996549670027726e-06,-21.005344190204028
OFDM,Classical OFDM,-0.488037109375,2.8879447710252426e-06,-21.450486844219775
OFDM,Classical OFDM,-0.48779296875,2.5788614054629485e-06,-21.942095652827412
OFDM,Classical OFDM,-0.487548828125,2.2754020837387503e-06,-22.485794165003135
OFDM,Classical OFDM,-0.4873046875,1.9805140090726007e-06,-23.088596492507627
OFDM,Classical OFDM,-0.487060546875,1.6970662133964101e-06,-23.759387807125982
OFDM,Classical OFDM,-0.48681640625,1.4278215176529027e-06,-24.50963645357391
OFDM,Classical OFDM,-0.486572265625,1.1754113850795086e-06,-25.35447674971841
OFDM,Classical OFDM,-0.486328125,9.423081849671884e-07,-26.314446045110053
OFDM,Classical OFDM,-0.486083984375,7.308037279252852e-07,-27.418368138844727
OFDM,Classical OFDM,-0.48583984375,5.429846148167003e-07,-28.70850043705916
OFDM,Classical OFDM,-0.485595703125,3.807145045803659e-07,-30.250381449468364
OFDM,Classical OFDM,-0.4853515625,2.4561318055104224e-07,-32.15385898951257
OFDM,Classical OFDM,-0.485107421875,1.3904321592250906e-07,-34.6248776397077
OFDM,Classical OFDM,-0.48486328125,6.209436199657136e-08,-38.12585398784285
OFDM,Classical OFDM,-0.484619140625,1.5574427630467234e-08,-44.13225472921055
OFDM,Classical OFDM,-0.484375,6.657125771997837e-15,-107.82350805879099
OFDM,Classical OFDM,-0.484130859375,1.559155099143228e-08,-44.127482485722055
OFDM,Classical OFDM,-0.48388671875,6.227066718095549e-08,-38.113540490952474
OFDM,Classical OFDM,-0.483642578125,1.3966051672049648e-07,-34.6056392343877
OFDM,Classical OFDM,-0.4833984375,2.470888861501375e-07,-32.12784356321918
OFDM,Classical OFDM,-0.483154296875,3.8359408680386916e-07,-30.217656641683348
OFDM,Classical OFDM,-0.48291015625,5.479341076048043e-07,-28.669092328810205
OFDM,Classical OFDM,-0.482666015625,7.385975914651439e-07,-27.372296808617953
OFDM,Classical OFDM,-0.482421875,9.538181181353897e-07,-26.261720001996018
OFDM,Classical OFDM,-0.482177734375,1.191591142328286e-06,-25.295103017288675
OFDM,Classical OFDM,-0.48193359375,1.4496919990103213e-06,-24.44361825962234
OFDM,Classical OFDM,-0.481689453125,1.7256976614815108e-06,-23.68672857379024
OFDM,Classical OFDM,-0.4814453125,2.0170091974131125e-06,-23.00929689395437
OFDM,Classical OFDM,-0.481201171875,2.3208763693357887e-06,-22.399855613056523
OFDM,Classical OFDM,-0.48095703125,2.6344240761182456e-06,-21.849518812050274
OFDM,Classical OFDM,-0.480712890625,2.95467998805509e-06,-21.35127117246322
OFDM,Classical OFDM,-0.48046875,3.2786023842613245e-06,-20.899488175923793
OFDM,Classical OFDM,-0.480224609375,3.6031084756028014e-06,-20.489602307239405
OFDM,Classical OFDM,-0.47998046875,3.925106773759591e-06,-20.11786092710549
OFDM,Classical OFDM,-0.479736328125,4.24152084202623e-06,-19.781159625801493
OFDM,Classical OFDM,-0.4794921875,4.549327490806504e-06,-19.476903666071145
OFDM,Classical OFDM,-0.479248046875,4.845577412891341e-06,-19.202920317179387
OFDM,Classical OFDM,-0.47900390625,5.127429656511304e-06,-18.95737856992055
OFDM,Classical OFDM,-0.478759765625,5.392173959990319e-06,-18.73873673188996
OFDM,Classical OFDM,-0.478515625,5.637264415571578e-06,-18.545691621072255
OFDM,Classical OFDM,-0.478271484375,5.8603333071921344e-06,-18.377152506898206
OFDM,Classical OFDM,-0.47802734375,6.059225826303362e-06,-18.23220429084776
OFDM,Classical OFDM,-0.477783203125,6.232011562888459e-06,-18.11009317507283
OFDM,Classical OFDM,-0.4775390625,6.377009753331873e-06,-18.010204867430776
OFDM,Classical OFDM,-0.477294921875,6.492804251111112e-06,-17.932052582593627
OFDM,Classical OFDM,-0.47705078125,6.578254370432972e-06,-17.87526905028566
OFDM,Classical OFDM,-0.476806640625,6.632510908919911e-06,-17.839595949963165
OFDM,Classical OFDM,-0.4765625,6.655022945113348e-06,-17.82488010794599
OFDM,Classical OFDM,-0.476318359375,6.645543179369126e-06,-17.831070837890945
OFDM,Classical OFDM,-0.47607421875,6.604129876001316e-06,-17.858219625072064
OFDM,Classical OFDM,-0.475830078125,6.5311517186417145e-06,-17.906477954256022
OFDM,Classical OFDM,-0.4755859375,6.42727858505679e-06,-17.976104435112077
OFDM,Classical OFDM,-0.475341796875,6.293481870838314e-06,-18.06746582468342
OFDM,Classical OFDM,-0.47509765625,6.131017819335724e-06,-18.181049895906504
OFDM,Classical OFDM,-0.474853515625,5.9414237992138386e-06,-18.317470364426363
OFDM,Classical OFDM,-0.474609375,5.726505275904846e-06,-18.477479027871876
OFDM,Classical OFDM,-0.474365234375,5.488307245909886e-06,-18.66199151950638
OFDM,Classical OFDM,-0.47412109375,5.229105578074588e-06,-18.872101574376767
OFDM,Classical OFDM,-0.473876953125,4.951386297388524e-06,-19.10910757511723
OFDM,Classical OFDM,-0.4736328125,4.657814186993732e-06,-19.374554086194834
OFDM,Classical OFDM,-0.473388671875,4.351214661509232e-06,-19.670270587895477
OFDM,Classical OFDM,-0.47314453125,4.034545282255251e-06,-19.998429737717473
OFDM,Classical OFDM,-0.472900390625,3.7108641974164488e-06,-20.361625067410635
OFDM,Classical OFDM,-0.47265625,3.383306431702989e-06,-20.762962336189833
OFDM,Classical OFDM,-0.472412109375,3.0550498179113437e-06,-21.206192713988187
OFDM,Classical OFDM,-0.47216796875,2.7292865526098567e-06,-21.69588432555985
OFDM,Classical OFDM,-0.471923828125,2.4091923241445524e-06,-22.23766097155394
OFDM,Classical OFDM,-0.4716796875,2.097895602490261e-06,-22.838536953502484
OFDM,Classical OFDM,-0.471435546875,1.7984481834029539e-06,-23.507396384508212
OFDM,Classical OFDM,-0.47119140625,1.51379435688688e-06,-24.255706860195232
OFDM,Classical OFDM,-0.470947265625,1.2467434137213651e-06,-25.098604853518523
OFDM,Classical OFDM,-0.470703125,9.999429612141962e-07,-26.056623402999378
OFDM,Classical OFDM,-0.470458984375,7.758517736497179e-07,-27.158588106678458
OFDM,Classical OFDM,-0.47021484375,5.767163044872242e-07,-28.4467533833389
OFDM,Classical OFDM,-0.469970703125,4.045495149704471e-07,-29.986658831465324
OFDM,Classical OFDM,-0.4697265625,2.611100213700126e-07,-31.88814027652716
OFDM,Classical OFDM,-0.469482421875,1.4788479017870284e-07,-34.35714058477338
OFDM,Classical OFDM,-0.46923828125,6.607464663351476e-08,-37.856027187556755
OFDM,Classical OFDM,-0.468994140625,1.6581611267928275e-08,-43.86010838445863
OFDM,Classical OFDM,-0.46875,8.612337296329665e-15,-106.70516537631129
OFDM,Classical OFDM,-0.468505859375,1.660960450176585e-08,-43.852782765564044
